phase,check,unit,measured_value,checked_by,date,notes
Materials,Plywood nominal 5 mm actual thickness,mm,,,,
Materials,Plywood nominal 3 mm actual thickness,mm,,,,
Materials,Plywood nominal 2.5 mm actual thickness,mm,,,,
Materials,FliteBoard actual thickness,mm,,,,
Manufacturing,Laser slot coupon fit,result,,,,
Manufacturing,Printer dimensional and bore coupon,result,,,,
Manufacturing,Foam forming and adhesive coupon,result,,,,
Assembly,Both wings fit and retention secured,result,,,,
Assembly,Nose bypass and free steering,result,,,,
Assembly,All control surfaces free and pins retained,result,,,,
Assembly,Landing gear load and clearance review,result,,,,
Mass,Completed body mass,g,,,,
Mass,All printed parts mass,g,,,,
Mass,Battery mass,g,,,,
Mass,Battery dimensions L x W x H,mm,,,,
Electronics,Exact servo model and voltage,model,,,,
Electronics,Exact GPS and airspeed sensor models,model,,,,
Electronics,Loaded 5 V rail minimum,V,,,,
Electronics,Loaded servo rail minimum,V,,,,
Electronics,Voltage and current sensor calibration,result,,,,
Electronics,Manual and stabilized control directions,result,,,,
Electronics,Observed RC loss and recovery actions,result,,,,
Propulsion,Exact tested motor propeller ESC battery,configuration,,,,
Propulsion,Maximum measured battery current,A,,,,
Propulsion,Measured thrust,N,,,,
Balance,Complete aircraft mass,g,,,,
Balance,Measured CG aft of nose,mm,,,,
Balance,Reviewed flight CG target and authority,record,,,,522 mm is provisional only
Flight,Experienced pilot review and ground checks,record,,,,
Flight,Flight record and subsequent changes,record,,,,
