part,mass_g,y_mm,from_nose_mm,basis,category
A01,2.6288462282204734,101.39917244992469,541.0491724499246,Plywood 0.55 g/cm3 assumed; weigh actual stock,plywood
A04,6.3756392194648654,387.14999699014294,826.799996990143,Plywood 0.55 g/cm3 assumed; weigh actual stock,plywood
A05,29.788014806042032,81.80574802582282,521.4557480258228,Plywood 0.55 g/cm3 assumed; weigh actual stock,plywood
A07,33.925396695967166,120.20537278485634,559.8553727848563,Plywood 0.55 g/cm3 assumed; weigh actual stock,plywood
A10,1.6248176184978518,142.42026506934724,582.0702650693472,Plywood 0.55 g/cm3 assumed; weigh actual stock,plywood
A13,29.278450198822338,-153.84740301469756,285.80259698530244,Plywood 0.55 g/cm3 assumed; weigh actual stock,plywood
A16,6.961231708009312,236.15000000000026,675.8000000000002,Plywood 0.55 g/cm3 assumed; weigh actual stock,plywood
A18,5.656553173476612,459.2499999947917,898.8999999947916,Plywood 0.55 g/cm3 assumed; weigh actual stock,plywood
A24,6.593541572846088,97.86004281551453,537.5100428155145,Plywood 0.55 g/cm3 assumed; weigh actual stock,plywood
A25,5.462164827165008,127.5000002660914,567.1500002660914,Plywood 0.55 g/cm3 assumed; weigh actual stock,plywood
A26,3.4398379366716223,580.1500000063502,1019.8000000063502,Plywood 0.55 g/cm3 assumed; weigh actual stock,plywood
A34,6.935313568755712,-127.49999999991233,312.15000000008763,Plywood 0.55 g/cm3 assumed; weigh actual stock,plywood
A35,9.641088538551859,79.77805647712775,519.4280564771277,Plywood 0.55 g/cm3 assumed; weigh actual stock,plywood
A43,26.131018733912978,339.5780157993001,779.2280157993,Plywood 0.55 g/cm3 assumed; weigh actual stock,plywood
A44,3.428541332009322,103.81111827942978,543.4611182794298,Plywood 0.55 g/cm3 assumed; weigh actual stock,plywood
A47,3.4863641065440585,136.34999999999894,575.9999999999989,Plywood 0.55 g/cm3 assumed; weigh actual stock,plywood
A48,5.462164827165009,145.19999999999933,584.8499999999993,Plywood 0.55 g/cm3 assumed; weigh actual stock,plywood
A53,2.6417128214855095,145.2087135125359,584.8587135125358,Plywood 0.55 g/cm3 assumed; weigh actual stock,plywood
A54,6.961231708009137,-2.4999999999999556,437.15000000000003,Plywood 0.55 g/cm3 assumed; weigh actual stock,plywood
A62F,2.9524736242922027,-360.46589712749966,79.18410287250032,Plywood 0.55 g/cm3 assumed; weigh actual stock,plywood
A62R,18.392599667091996,372.2144021270261,811.8644021270261,Plywood 0.55 g/cm3 assumed; weigh actual stock,plywood
A63,2.076785401780721,-292.5,147.14999999999998,Plywood 0.55 g/cm3 assumed; weigh actual stock,plywood
I01,17.697231241068433,-34.28571428571427,405.3642857142857,Plywood 0.55 g/cm3 assumed,plywood
G03,2.5144598252624726,136.3500000000002,576.0000000000002,Plywood 0.55 g/cm3 assumed,plywood
H05B,2.749999999999999,300,739.65,Plywood 0.55 g/cm3 assumed,plywood
A06,65.43421691212858,122.68919299843955,562.3391929984396,"Nominal sliced object extrusion only, supports excluded; weigh finished part",print
A09,2.2886832089645384,-293.65000003074556,145.99999996925442,"Nominal sliced object extrusion only, supports excluded; weigh finished part",print
A11,57.2908492917566,160.1969250122187,599.8469250122187,"Nominal sliced object extrusion only, supports excluded; weigh finished part",print
A12,122.14493204660357,457.9950816184593,897.6450816184592,"Nominal sliced object extrusion only, supports excluded; weigh finished part",print
A21,57.32763620673134,160.29538352657522,599.9453835265751,"Nominal sliced object extrusion only, supports excluded; weigh finished part",print
A23,28.055976896107676,131.9018684512317,571.5518684512317,"Nominal sliced object extrusion only, supports excluded; weigh finished part",print
A36,28.09566684583769,131.8984032021084,571.5484032021084,"Nominal sliced object extrusion only, supports excluded; weigh finished part",print
A37,16.861704308233787,-285.24124306057655,154.40875693942343,"Nominal sliced object extrusion only, supports excluded; weigh finished part",print
A45,28.249956608307972,97.67221854799654,537.3222185479965,"Nominal sliced object extrusion only, supports excluded; weigh finished part",print
A55,28.245704178670895,97.67456998159135,537.3245699815914,"Nominal sliced object extrusion only, supports excluded; weigh finished part",print
A59,150.15431134862956,-313.57165988502135,126.07834011497863,"Nominal sliced object extrusion only, supports excluded; weigh finished part",print
I04_FC_Bridge,15.856262585234504,170.00000000000009,609.6500000000001,"Nominal sliced object extrusion only, supports excluded; weigh finished part",print
I05_1_Nose_Cover_Column,1.7646260829240137,-299.903374111625,139.74662588837498,"Nominal sliced object extrusion only, supports excluded; weigh finished part",print
I05_2_Nose_Cover_Column,1.0396355795918515,-169.82711577138744,269.82288422861257,"Nominal sliced object extrusion only, supports excluded; weigh finished part",print
