part_id,assembly_id,sheet,x_mm,y_mm,rotation_deg,quantity
LCL_I,LCL_I,REAPER_REV4_PLY_PANEL_01.dxf,64.0,51.0,-0.0,1
LCR_I,LCR_I,REAPER_REV4_PLY_PANEL_01.dxf,64.0,77.0,-0.0,1
FK_F,FK_F,REAPER_REV4_PLY_PANEL_01.dxf,136.0,39.0,-90.0,1
FK_A,FK_A,REAPER_REV4_PLY_PANEL_01.dxf,64.0,131.50962,-90.0,1
WBL_O,WBL_O,REAPER_REV4_PLY_PANEL_01.dxf,46.0,137.50961999999998,-0.0,1
WBR_O,WBR_O,REAPER_REV4_PLY_PANEL_01.dxf,46.0,151.78462,-0.0,1
FLR_F,FLR_F,REAPER_REV4_PLY_PANEL_01.dxf,46.0,172.05962,-90.0,1
FLL_F,FLL_F,REAPER_REV4_PLY_PANEL_01.dxf,46.0,184.05962,-90.0,1
LCL_O,LCL_O,REAPER_REV4_PLY_PANEL_01.dxf,46.0,190.05962,-0.0,1
LCR_O,LCR_O,REAPER_REV4_PLY_PANEL_01.dxf,46.0,206.05962,-0.0,1
TLS,TLS,REAPER_REV4_PLY_PANEL_01.dxf,10.0,222.05962,-34.999999993021305,1
TRS,TRS,REAPER_REV4_PLY_PANEL_01.dxf,117.86332019973932,83.8446589331165,34.999999993021305,1
FBT,FBT,REAPER_REV4_PLY_PANEL_01.dxf,10.0,321.8894447168947,-90.0,1
FBWL,FBWL,REAPER_REV4_PLY_PANEL_01.dxf,10.0,340.8894447168947,-90.0,1
FBWR,FBWR,REAPER_REV4_PLY_PANEL_01.dxf,10.0,359.8894447168947,-90.0,1
FLL_A,FLL_A,REAPER_REV4_PLY_PANEL_01.dxf,10.0,392.8894447168947,-90.0,1
FLR_A,FLR_A,REAPER_REV4_PLY_PANEL_01.dxf,310.0,392.8894447168947,-90.0,1
JL1,JL1,REAPER_REV4_PLY_PANEL_01.dxf,10.0,398.8894447168947,-0.0,1
JL2,JL2,REAPER_REV4_PLY_PANEL_01.dxf,10.0,421.8894447168947,-0.0,1
JL3,JL3,REAPER_REV4_PLY_PANEL_01.dxf,293.85,398.8894447168947,-0.0,1
JR1,JR1,REAPER_REV4_PLY_PANEL_01.dxf,293.85,421.8894447168947,-0.0,1
GLEG_L,GLEG_L,REAPER_REV4_PLY_PANEL_01.dxf,460.5178429722158,228.5785571825567,-35.42577211490816,1
GLEG_R,GLEG_R,REAPER_REV4_PLY_PANEL_01.dxf,460.5178429722158,247.61643154767006,35.425772114908185,1
GLEG_N,GLEG_N,REAPER_REV4_PLY_PANEL_01.dxf,416.0,268.13536873022673,0.0,1
WLRI,WLRI,REAPER_REV4_PLY_PANEL_01.dxf,426.4187012001552,288.474069628143,-89.89340631304279,1
WRRI,WRRI,REAPER_REV4_PLY_PANEL_01.dxf,426.4187012001552,310.32544420537585,-89.89340631304279,1
FK_DL,FK_DL,REAPER_REV4_PLY_PANEL_01.dxf,426.94429,210.05962,-90.0,1
FK_DR,FK_DR,REAPER_REV4_PLY_PANEL_01.dxf,326.0,345.8381178846924,-90.0,1
LCL_DA,LCL_DA,REAPER_REV4_PLY_PANEL_01.dxf,472.0,178.05962,-0.0,1
LCL_DF,LCL_DF,REAPER_REV4_PLY_PANEL_01.dxf,326.0,351.8381178846924,-0.0,1
LCR_DA,LCR_DA,REAPER_REV4_PLY_PANEL_01.dxf,452.0,325.8381178846924,-0.0,1
LCR_DF,LCR_DF,REAPER_REV4_PLY_PANEL_01.dxf,452.0,336.8381178846924,-0.0,1
WBL_DA,WBL_DA,REAPER_REV4_PLY_PANEL_01.dxf,452.0,347.8381178846924,-0.0,1
WBL_DF,WBL_DF,REAPER_REV4_PLY_PANEL_01.dxf,485.34626,137.50961999999998,-0.0,1
WBR_DA,WBR_DA,REAPER_REV4_PLY_PANEL_01.dxf,485.34626,152.33461999999997,-0.0,1
WLRM_2,WLRM_2,REAPER_REV4_PLY_PANEL_01.dxf,512.0,260.13536873022673,-0.0,1
WRRM_2,WRRM_2,REAPER_REV4_PLY_PANEL_01.dxf,512.0,278.64592873022673,-0.0,1
FX1,FX1,REAPER_REV4_PLY_PANEL_01.dxf,511.4213533637378,297.1564887302267,0.0,1
FX2,FX2,REAPER_REV4_PLY_PANEL_01.dxf,511.4213533637378,309.1564887302267,0.0,1
WLRO_2,WLRO_2,REAPER_REV4_PLY_PANEL_01.dxf,529.0,103.0,-0.0,1
FBC,FBC,REAPER_REV4_PLY_PANEL_01.dxf,529.0,122.54805,0.0,1
WLRM_1,WLRM_1,REAPER_REV4_PLY_PANEL_01.dxf,552.94429,189.05962,-0.0,1
FX0L,FX0L,REAPER_REV4_PLY_PANEL_01.dxf,552.94429,207.78109,0.0,1
FX0R,FX0R,REAPER_REV4_PLY_PANEL_01.dxf,574.44429,207.78109,0.0,1
JR2,JR2,REAPER_REV4_PLY_PANEL_02.dxf,10.0,10.0,-0.0,1
JR3,JR3,REAPER_REV4_PLY_PANEL_02.dxf,293.85,10.0,-0.0,1
WBL_I,WBL_I,REAPER_REV4_PLY_PANEL_02.dxf,10.0,33.0,-0.0,1
WBR_I,WBR_I,REAPER_REV4_PLY_PANEL_02.dxf,291.21991,33.0,-0.0,1
WBR_DF,WBR_DF,REAPER_REV4_PLY_PANEL_02.dxf,10.0,50.3,-0.0,1
JLOW,JLOW,REAPER_REV4_PLY_PANEL_02.dxf,60.0,80.275,0.0,1
JTOP,JTOP,REAPER_REV4_PLY_PANEL_02.dxf,60.0,116.575,0.0,1
JB,JB,REAPER_REV4_PLY_PANEL_02.dxf,60.0,146.24875,-90.0,1
JF,JF,REAPER_REV4_PLY_PANEL_02.dxf,60.0,169.225,-90.0,1
FF0U,FF0U,REAPER_REV4_PLY_PANEL_02.dxf,10.0,183.725,-0.0,1
FF1,FF1,REAPER_REV4_PLY_PANEL_02.dxf,10.0,235.91479999999999,-0.0,1
FF2U,FF2U,REAPER_REV4_PLY_PANEL_02.dxf,10.0,288.1046,-0.0,1
FF3,FF3,REAPER_REV4_PLY_PANEL_02.dxf,10.0,340.14793000000003,-0.0,1
FEQ,FEQ,REAPER_REV4_PLY_PANEL_02.dxf,107.35154,340.14818,-0.0,1
FES0,FES0,REAPER_REV4_PLY_PANEL_02.dxf,10.0,381.77609,-0.0,1
FES1,FES1,REAPER_REV4_PLY_PANEL_02.dxf,10.0,393.77609,-0.0,1
FLL_DB,FLL_DB,REAPER_REV4_PLY_PANEL_02.dxf,10.0,411.77609,-90.0,1
FLL_DT,FLL_DT,REAPER_REV4_PLY_PANEL_02.dxf,10.0,423.77609,-90.0,1
FLR_DB,FLR_DB,REAPER_REV4_PLY_PANEL_02.dxf,10.0,435.77609,-90.0,1
FLR_DT,FLR_DT,REAPER_REV4_PLY_PANEL_02.dxf,106.0,442.14818,-90.0,1
FTM0,FTM0,REAPER_REV4_PLY_PANEL_02.dxf,10.0,441.77609,-0.0,1
FTM1,FTM1,REAPER_REV4_PLY_PANEL_02.dxf,111.64296,288.1046,-0.0,1
FX3,FX3,REAPER_REV4_PLY_PANEL_02.dxf,150.64296000000002,302.1046,-90.0,1
FEC0,FEC0,REAPER_REV4_PLY_PANEL_02.dxf,111.64296,311.1046,-0.0,1
FEC1,FEC1,REAPER_REV4_PLY_PANEL_02.dxf,111.64296,322.1046,-0.0,1
TROOT,TROOT,REAPER_REV4_PLY_PANEL_02.dxf,219.35154,353.95565,-90.0,1
FMT,FMT,REAPER_REV4_PLY_PANEL_02.dxf,181.35154,417.1046,-90.0,1
FGPS,FGPS,REAPER_REV4_PLY_PANEL_02.dxf,257.35154,369.1046,-0.0,1
WRRO_2,WRRO_2,REAPER_REV4_PLY_PANEL_02.dxf,202.0,423.1046,-0.0,1
FGPL,FGPL,REAPER_REV4_PLY_PANEL_02.dxf,111.64445,183.725,-0.0,1
FGPR,FGPR,REAPER_REV4_PLY_PANEL_02.dxf,111.64445,229.725,-0.0,1
FMF,FMF,REAPER_REV4_PLY_PANEL_02.dxf,116.0,65.125,0.0,1
WRRO_1,WRRO_1,REAPER_REV4_PLY_PANEL_02.dxf,195.64296000000002,299.1046,-0.0,1
WLRO_1,WLRO_1,REAPER_REV4_PLY_PANEL_02.dxf,269.45573,415.1046,-0.0,1
FF0L,FF0L,REAPER_REV4_PLY_PANEL_02.dxf,116.0,118.38256,-0.0,1
FF0R,FF0R,REAPER_REV4_PLY_PANEL_02.dxf,167.32222000000002,118.38256,-0.0,1
FF2L,FF2L,REAPER_REV4_PLY_PANEL_02.dxf,170.0,50.3,-0.0,1
FF2R,FF2R,REAPER_REV4_PLY_PANEL_02.dxf,169.64445,161.08944,-0.0,1
WRRM_1,WRRM_1,REAPER_REV4_PLY_PANEL_02.dxf,116.07997,161.08944,-0.0,1
MTL,MTL,REAPER_REV4_PLY_PANEL_02.dxf,218.64444000000003,93.00688,-0.0,1
MTR,MTR,REAPER_REV4_PLY_PANEL_02.dxf,169.64445,203.79631999999998,-0.0,1
FMGR,FMGR,REAPER_REV4_PLY_PANEL_02.dxf,218.64444000000003,153.12025,-90.0,1
FMGL,FMGL,REAPER_REV4_PLY_PANEL_02.dxf,170.0,110.12022999999999,-90.0,1
FNG2,FNG2,Foam5mm_1000x600mm_Sheet01.dxf,605.03,466.625,0.0,1
FNG3,FNG3,Foam5mm_1000x600mm_Sheet01.dxf,668.638,466.625,0.0,1
FNG4,FNG4,Foam5mm_1000x600mm_Sheet01.dxf,554.118,466.625,0.0,1
SKIN_F13,FSL0,Foam5mm_1000x600mm_Sheet01.dxf,955.649,374.65,0.0,1
SKIN_F14,FSL0,Foam5mm_1000x600mm_Sheet01.dxf,976.092,374.65,0.0,1
SKIN_F15,FSL0,Foam5mm_1000x600mm_Sheet01.dxf,935.204,374.65,0.0,1
SKIN_F16,FSL1,Foam5mm_1000x600mm_Sheet01.dxf,955.649,0.0,0.0,1
SKIN_F17,FSL1,Foam5mm_1000x600mm_Sheet01.dxf,935.204,0.0,0.0,1
SKIN_F18,FSL1,Foam5mm_1000x600mm_Sheet01.dxf,976.092,0.0,0.0,1
SKIN_F30,FSL3,Foam5mm_1000x600mm_Sheet01.dxf,486.148,461.625,0.0,1
SKIN_WLIN_F01,WLIN,Foam5mm_1000x600mm_Sheet01.dxf,486.148,0.0,0.0,1
SKIN_WROUT_F03,WROUT,Foam5mm_1000x600mm_Sheet01.dxf,0.0,0.0,0.0,1
SKIN_WLOUT_F04,WLOUT,Foam5mm_1000x600mm_Sheet01.dxf,243.074,0.0,0.0,1
FNG1,FNG1,Foam5mm_1000x600mm_Sheet02.dxf,947.123,203.894,0.0,1
SKIN_F09,FSL0,Foam5mm_1000x600mm_Sheet02.dxf,449.055,374.65,0.0,1
SKIN_F10,FSL0,Foam5mm_1000x600mm_Sheet02.dxf,516.683,374.65,0.0,1
SKIN_F11,FSL1,Foam5mm_1000x600mm_Sheet02.dxf,449.055,0.0,0.0,1
SKIN_F12,FSL1,Foam5mm_1000x600mm_Sheet02.dxf,516.683,0.0,0.0,1
SKIN_F19,FSL2,Foam5mm_1000x600mm_Sheet02.dxf,946.987,0.0,0.0,1
SKIN_F20,FSL2,Foam5mm_1000x600mm_Sheet02.dxf,846.766,361.274,0.0,1
SKIN_F21,FSL2,Foam5mm_1000x600mm_Sheet02.dxf,767.688,361.13,0.0,1
SKIN_F22,FSL2,Foam5mm_1000x600mm_Sheet02.dxf,967.591,0.0,0.0,1
SKIN_F23,FSU2,Foam5mm_1000x600mm_Sheet02.dxf,767.688,198.894,0.0,1
SKIN_F24,FSU2,Foam5mm_1000x600mm_Sheet02.dxf,857.337,198.894,0.0,1
SKIN_F27,FSL3,Foam5mm_1000x600mm_Sheet02.dxf,914.379,361.274,0.0,1
SKIN_F33,FSL2,Foam5mm_1000x600mm_Sheet02.dxf,835.488,361.13,0.0,1
SKIN_WRIN_F02,WRIN,Foam5mm_1000x600mm_Sheet02.dxf,0.0,0.0,0.0,1
SKIN_TRF_F05,TRF,Foam5mm_1000x600mm_Sheet02.dxf,584.312,296.48,0.0,1
SKIN_TLF_F06,TLF,Foam5mm_1000x600mm_Sheet02.dxf,584.312,0.0,0.0,1
SKIN_TRF_F07,TRF,Foam5mm_1000x600mm_Sheet02.dxf,767.688,0.0,0.0,1
SKIN_TLF_F08,TLF,Foam5mm_1000x600mm_Sheet02.dxf,857.337,0.0,0.0,1
SKIN_F25,FSU1,Foam5mm_1000x600mm_Sheet03.dxf,0.0,288.741,0.0,1
SKIN_F26,FSU1,Foam5mm_1000x600mm_Sheet03.dxf,61.95,0.0,0.0,1
SKIN_F28,FSL3,Foam5mm_1000x600mm_Sheet03.dxf,0.0,0.0,0.0,1
SKIN_F29,FSL3,Foam5mm_1000x600mm_Sheet03.dxf,0.0,150.397,0.0,1
AR,AR,Foam5mm_1000x600mm_Sheet03.dxf,200.0,10.0,0,1
AL,AL,Foam5mm_1000x600mm_Sheet03.dxf,200.0,78.15559999999999,0,1
TRC,TRC,Foam5mm_1000x600mm_Sheet03.dxf,200.0,146.31119999999999,0,1
TLC,TLC,Foam5mm_1000x600mm_Sheet03.dxf,200.0,192.34216999999998,0,1
