id,speed_m_s,assumed_hinge_coefficient,bounding_rectangle_area_mm2,reference_chord_mm,hinge_moment_Nm,nominal_servo_moment_Nm,half_nominal_MG90S_stall_torque_Nm,limits
AR,12,0.1,16482.116262447485,60.51319711429065,0.008796940553206237,0.003383438674310091,0.08825985,"Bounding rectangle geometry and assumed coefficient/nominal lever ratio; ignores changing linkage leverage, friction and gusts; not a servo load qualification"
AR,12,0.2,16482.116262447485,60.51319711429065,0.017593881106412475,0.006766877348620182,0.08825985,"Bounding rectangle geometry and assumed coefficient/nominal lever ratio; ignores changing linkage leverage, friction and gusts; not a servo load qualification"
AR,16,0.1,16482.116262447485,60.51319711429065,0.0156390054279222,0.006015002087662384,0.08825985,"Bounding rectangle geometry and assumed coefficient/nominal lever ratio; ignores changing linkage leverage, friction and gusts; not a servo load qualification"
AR,16,0.2,16482.116262447485,60.51319711429065,0.0312780108558444,0.012030004175324767,0.08825985,"Bounding rectangle geometry and assumed coefficient/nominal lever ratio; ignores changing linkage leverage, friction and gusts; not a servo load qualification"
AR,20,0.1,16482.116262447485,60.51319711429065,0.024435945981128436,0.009398440761972476,0.08825985,"Bounding rectangle geometry and assumed coefficient/nominal lever ratio; ignores changing linkage leverage, friction and gusts; not a servo load qualification"
AR,20,0.2,16482.116262447485,60.51319711429065,0.04887189196225687,0.01879688152394495,0.08825985,"Bounding rectangle geometry and assumed coefficient/nominal lever ratio; ignores changing linkage leverage, friction and gusts; not a servo load qualification"
AL,12,0.1,16482.11626278481,60.5131971155202,0.008796940553565018,0.0033834386744480837,0.08825985,"Bounding rectangle geometry and assumed coefficient/nominal lever ratio; ignores changing linkage leverage, friction and gusts; not a servo load qualification"
AL,12,0.2,16482.11626278481,60.5131971155202,0.017593881107130036,0.006766877348896167,0.08825985,"Bounding rectangle geometry and assumed coefficient/nominal lever ratio; ignores changing linkage leverage, friction and gusts; not a servo load qualification"
AL,16,0.1,16482.11626278481,60.5131971155202,0.015639005428560032,0.006015002087907705,0.08825985,"Bounding rectangle geometry and assumed coefficient/nominal lever ratio; ignores changing linkage leverage, friction and gusts; not a servo load qualification"
AL,16,0.2,16482.11626278481,60.5131971155202,0.031278010857120064,0.01203000417581541,0.08825985,"Bounding rectangle geometry and assumed coefficient/nominal lever ratio; ignores changing linkage leverage, friction and gusts; not a servo load qualification"
AL,20,0.1,16482.11626278481,60.5131971155202,0.024435945982125055,0.00939844076235579,0.08825985,"Bounding rectangle geometry and assumed coefficient/nominal lever ratio; ignores changing linkage leverage, friction and gusts; not a servo load qualification"
AL,20,0.2,16482.11626278481,60.5131971155202,0.04887189196425011,0.01879688152471158,0.08825985,"Bounding rectangle geometry and assumed coefficient/nominal lever ratio; ignores changing linkage leverage, friction and gusts; not a servo load qualification"
TRC,12,0.1,10898.160293363673,40.00000010002219,0.0038448709611130145,0.002403044350695634,0.08825985,"Bounding rectangle geometry and assumed coefficient/nominal lever ratio; ignores changing linkage leverage, friction and gusts; not a servo load qualification"
TRC,12,0.2,10898.160293363673,40.00000010002219,0.007689741922226029,0.004806088701391268,0.08825985,"Bounding rectangle geometry and assumed coefficient/nominal lever ratio; ignores changing linkage leverage, friction and gusts; not a servo load qualification"
TRC,16,0.1,10898.160293363673,40.00000010002219,0.006835326153089804,0.004272078845681128,0.08825985,"Bounding rectangle geometry and assumed coefficient/nominal lever ratio; ignores changing linkage leverage, friction and gusts; not a servo load qualification"
TRC,16,0.2,10898.160293363673,40.00000010002219,0.013670652306179608,0.008544157691362256,0.08825985,"Bounding rectangle geometry and assumed coefficient/nominal lever ratio; ignores changing linkage leverage, friction and gusts; not a servo load qualification"
TRC,20,0.1,10898.160293363673,40.00000010002219,0.01068019711420282,0.006675123196376762,0.08825985,"Bounding rectangle geometry and assumed coefficient/nominal lever ratio; ignores changing linkage leverage, friction and gusts; not a servo load qualification"
TRC,20,0.2,10898.160293363673,40.00000010002219,0.02136039422840564,0.013350246392753524,0.08825985,"Bounding rectangle geometry and assumed coefficient/nominal lever ratio; ignores changing linkage leverage, friction and gusts; not a servo load qualification"
TLC,12,0.1,10898.160293362484,40.0000001000127,0.003844870961111683,0.0024030443506948018,0.08825985,"Bounding rectangle geometry and assumed coefficient/nominal lever ratio; ignores changing linkage leverage, friction and gusts; not a servo load qualification"
TLC,12,0.2,10898.160293362484,40.0000001000127,0.007689741922223366,0.0048060887013896035,0.08825985,"Bounding rectangle geometry and assumed coefficient/nominal lever ratio; ignores changing linkage leverage, friction and gusts; not a servo load qualification"
TLC,16,0.1,10898.160293362484,40.0000001000127,0.006835326153087438,0.004272078845679648,0.08825985,"Bounding rectangle geometry and assumed coefficient/nominal lever ratio; ignores changing linkage leverage, friction and gusts; not a servo load qualification"
TLC,16,0.2,10898.160293362484,40.0000001000127,0.013670652306174876,0.008544157691359296,0.08825985,"Bounding rectangle geometry and assumed coefficient/nominal lever ratio; ignores changing linkage leverage, friction and gusts; not a servo load qualification"
TLC,20,0.1,10898.160293362484,40.0000001000127,0.01068019711419912,0.0066751231963744495,0.08825985,"Bounding rectangle geometry and assumed coefficient/nominal lever ratio; ignores changing linkage leverage, friction and gusts; not a servo load qualification"
TLC,20,0.2,10898.160293362484,40.0000001000127,0.02136039422839824,0.013350246392748899,0.08825985,"Bounding rectangle geometry and assumed coefficient/nominal lever ratio; ignores changing linkage leverage, friction and gusts; not a servo load qualification"
