done,process,id,assembly,material,quantity,file,sheet
,Wood cutting,FX0L,FX0L,Plywood,1,Reference_Profiles/FX0L.dxf,REAPER_REV4_PLY_PANEL_01.dxf
,Wood cutting,FX0R,FX0R,Plywood,1,Reference_Profiles/FX0R.dxf,REAPER_REV4_PLY_PANEL_01.dxf
,Wood cutting,FX1,FX1,Plywood,1,Reference_Profiles/FX1.dxf,REAPER_REV4_PLY_PANEL_01.dxf
,Wood cutting,FX2,FX2,Plywood,1,Reference_Profiles/FX2.dxf,REAPER_REV4_PLY_PANEL_01.dxf
,Wood cutting,FX3,FX3,Plywood,1,Reference_Profiles/FX3.dxf,REAPER_REV4_PLY_PANEL_02.dxf
,Wood cutting,FBT,FBT,Plywood,1,Reference_Profiles/FBT.dxf,REAPER_REV4_PLY_PANEL_01.dxf
,Wood cutting,FBWR,FBWR,Plywood,1,Reference_Profiles/FBWR.dxf,REAPER_REV4_PLY_PANEL_01.dxf
,Wood cutting,FBWL,FBWL,Plywood,1,Reference_Profiles/FBWL.dxf,REAPER_REV4_PLY_PANEL_01.dxf
,Wood cutting,FBC,FBC,Plywood,1,Reference_Profiles/FBC.dxf,REAPER_REV4_PLY_PANEL_01.dxf
,Wood cutting,FMF,FMF,Plywood,1,Reference_Profiles/FMF.dxf,REAPER_REV4_PLY_PANEL_02.dxf
,Wood cutting,FMT,FMT,Plywood,1,Reference_Profiles/FMT.dxf,REAPER_REV4_PLY_PANEL_02.dxf
,Wood cutting,FMGR,FMGR,Plywood,1,Reference_Profiles/FMGR.dxf,REAPER_REV4_PLY_PANEL_02.dxf
,Wood cutting,FMGL,FMGL,Plywood,1,Reference_Profiles/FMGL.dxf,REAPER_REV4_PLY_PANEL_02.dxf
,Knife / CNC knife,FNG1,FNG1,Foam,1,Reference_Profiles/FNG1.dxf,Foam5mm_1000x600mm_Sheet02.dxf
,Knife / CNC knife,FNG2,FNG2,Foam,1,Reference_Profiles/FNG2.dxf,Foam5mm_1000x600mm_Sheet01.dxf
,Knife / CNC knife,FNG3,FNG3,Foam,1,Reference_Profiles/FNG3.dxf,Foam5mm_1000x600mm_Sheet01.dxf
,Knife / CNC knife,FNG4,FNG4,Foam,1,Reference_Profiles/FNG4.dxf,Foam5mm_1000x600mm_Sheet01.dxf
,Wood cutting,WRRI,WRRI,Plywood,1,Reference_Profiles/WRRI.dxf,REAPER_REV4_PLY_PANEL_01.dxf
,Wood cutting,WLRI,WLRI,Plywood,1,Reference_Profiles/WLRI.dxf,REAPER_REV4_PLY_PANEL_01.dxf
,Wood cutting,JF,JF,Plywood,1,Reference_Profiles/JF.dxf,REAPER_REV4_PLY_PANEL_02.dxf
,Wood cutting,JB,JB,Plywood,1,Reference_Profiles/JB.dxf,REAPER_REV4_PLY_PANEL_02.dxf
,Wood cutting,JLOW,JLOW,Plywood,1,Reference_Profiles/JLOW.dxf,REAPER_REV4_PLY_PANEL_02.dxf
,Wood cutting,JTOP,JTOP,Plywood,1,Reference_Profiles/JTOP.dxf,REAPER_REV4_PLY_PANEL_02.dxf
,Wood cutting,TROOT,TROOT,Plywood,1,Reference_Profiles/TROOT.dxf,REAPER_REV4_PLY_PANEL_02.dxf
,Wood cutting,GLEG_L,GLEG_L,Plywood,1,Reference_Profiles/GLEG_L.dxf,REAPER_REV4_PLY_PANEL_01.dxf
,Wood cutting,GLEG_R,GLEG_R,Plywood,1,Reference_Profiles/GLEG_R.dxf,REAPER_REV4_PLY_PANEL_01.dxf
,Wood cutting,GLEG_N,GLEG_N,Plywood,1,Reference_Profiles/GLEG_N.dxf,REAPER_REV4_PLY_PANEL_01.dxf
,Knife / CNC knife,SKIN_F09,FSL0,Foam,1,Reference_Profiles/BODY_F09_fuselage_forward_A.dxf,Foam5mm_1000x600mm_Sheet02.dxf
,Knife / CNC knife,SKIN_F10,FSL0,Foam,1,Reference_Profiles/BODY_F10_fuselage_forward_B.dxf,Foam5mm_1000x600mm_Sheet02.dxf
,Knife / CNC knife,SKIN_F11,FSL1,Foam,1,Reference_Profiles/BODY_F11_fuselage_middle_A.dxf,Foam5mm_1000x600mm_Sheet02.dxf
,Knife / CNC knife,SKIN_F12,FSL1,Foam,1,Reference_Profiles/BODY_F12_fuselage_middle_B.dxf,Foam5mm_1000x600mm_Sheet02.dxf
,Knife / CNC knife,SKIN_F13,FSL0,Foam,1,Reference_Profiles/BODY_F13_fuselage_src3_face8.dxf,Foam5mm_1000x600mm_Sheet01.dxf
,Knife / CNC knife,SKIN_F14,FSL0,Foam,1,Reference_Profiles/BODY_F14_fuselage_src3_face10.dxf,Foam5mm_1000x600mm_Sheet01.dxf
,Knife / CNC knife,SKIN_F15,FSL0,Foam,1,Reference_Profiles/BODY_F15_fuselage_src3_face12.dxf,Foam5mm_1000x600mm_Sheet01.dxf
,Knife / CNC knife,SKIN_F16,FSL1,Foam,1,Reference_Profiles/BODY_F16_fuselage_src21_face2.dxf,Foam5mm_1000x600mm_Sheet01.dxf
,Knife / CNC knife,SKIN_F17,FSL1,Foam,1,Reference_Profiles/BODY_F17_fuselage_src21_face16.dxf,Foam5mm_1000x600mm_Sheet01.dxf
,Knife / CNC knife,SKIN_F18,FSL1,Foam,1,Reference_Profiles/BODY_F18_fuselage_src21_face18.dxf,Foam5mm_1000x600mm_Sheet01.dxf
,Knife / CNC knife,SKIN_F19,FSL2,Foam,1,Reference_Profiles/BODY_F19_fuselage_src10_face16.dxf,Foam5mm_1000x600mm_Sheet02.dxf
,Knife / CNC knife,SKIN_F20,FSL2,Foam,1,Reference_Profiles/BODY_F20_fuselage_src10_face17.dxf,Foam5mm_1000x600mm_Sheet02.dxf
,Knife / CNC knife,SKIN_F21,FSL2,Foam,1,Reference_Profiles/BODY_F21_fuselage_src10_face19.dxf,Foam5mm_1000x600mm_Sheet02.dxf
,Knife / CNC knife,SKIN_F22,FSL2,Foam,1,Reference_Profiles/BODY_F22_fuselage_src10_face20.dxf,Foam5mm_1000x600mm_Sheet02.dxf
,Knife / CNC knife,SKIN_F23,FSU2,Foam,1,Reference_Profiles/BODY_F23_fuselage_src22_face11.dxf,Foam5mm_1000x600mm_Sheet02.dxf
,Knife / CNC knife,SKIN_F24,FSU2,Foam,1,Reference_Profiles/BODY_F24_fuselage_src22_face13.dxf,Foam5mm_1000x600mm_Sheet02.dxf
,Knife / CNC knife,SKIN_F25,FSU1,Foam,1,Reference_Profiles/BODY_F25_fuselage_src25_face6.dxf,Foam5mm_1000x600mm_Sheet03.dxf
,Knife / CNC knife,SKIN_F26,FSU1,Foam,1,Reference_Profiles/BODY_F26_fuselage_src25_face8.dxf,Foam5mm_1000x600mm_Sheet03.dxf
,Knife / CNC knife,SKIN_F27,FSL3,Foam,1,Reference_Profiles/BODY_F27_fuselage_src18_face14_axis1_strip1of4.dxf,Foam5mm_1000x600mm_Sheet02.dxf
,Knife / CNC knife,SKIN_F28,FSL3,Foam,1,Reference_Profiles/BODY_F28_fuselage_src18_face14_axis1_strip2of4.dxf,Foam5mm_1000x600mm_Sheet03.dxf
,Knife / CNC knife,SKIN_F29,FSL3,Foam,1,Reference_Profiles/BODY_F29_fuselage_src18_face14_axis1_strip3of4.dxf,Foam5mm_1000x600mm_Sheet03.dxf
,Knife / CNC knife,SKIN_F30,FSL3,Foam,1,Reference_Profiles/BODY_F30_fuselage_src18_face14_axis1_strip4of4.dxf,Foam5mm_1000x600mm_Sheet01.dxf
,Knife / CNC knife,SKIN_F33,FSL2,Foam,1,Reference_Profiles/BODY_F33_fuselage_src10_face18.dxf,Foam5mm_1000x600mm_Sheet02.dxf
,Knife / CNC knife,SKIN_WLIN_F01,WLIN,Foam,1,Reference_Profiles/WLIN_F01.dxf,Foam5mm_1000x600mm_Sheet01.dxf
,Knife / CNC knife,SKIN_WRIN_F02,WRIN,Foam,1,Reference_Profiles/WRIN_F02.dxf,Foam5mm_1000x600mm_Sheet02.dxf
,Knife / CNC knife,SKIN_WROUT_F03,WROUT,Foam,1,Reference_Profiles/WROUT_F03.dxf,Foam5mm_1000x600mm_Sheet01.dxf
,Knife / CNC knife,SKIN_WLOUT_F04,WLOUT,Foam,1,Reference_Profiles/WLOUT_F04.dxf,Foam5mm_1000x600mm_Sheet01.dxf
,Knife / CNC knife,SKIN_TRF_F05,TRF,Foam,1,Reference_Profiles/TRF_F05.dxf,Foam5mm_1000x600mm_Sheet02.dxf
,Knife / CNC knife,SKIN_TLF_F06,TLF,Foam,1,Reference_Profiles/TLF_F06.dxf,Foam5mm_1000x600mm_Sheet02.dxf
,Knife / CNC knife,SKIN_TRF_F07,TRF,Foam,1,Reference_Profiles/TRF_F07.dxf,Foam5mm_1000x600mm_Sheet02.dxf
,Knife / CNC knife,SKIN_TLF_F08,TLF,Foam,1,Reference_Profiles/TLF_F08.dxf,Foam5mm_1000x600mm_Sheet02.dxf
