id,name,mass_g,low_g,high_g,x_mm,y_mm,z_mm,basis
FCF,Original centre wing fairing,102.84304738770635,92.55874264893572,118.2695044958623,0.0002616939176060457,123.39716096326877,31.774762989184012,"PrusaSlicer object extrusion only; supports/brim excluded; before any manual finishing, not measured mass"
FTF,Original rear tail fairing,126.32305882904839,113.69075294614356,145.27151765340565,0.005528779444051669,483.105133628402,38.29812608492144,"PrusaSlicer object extrusion only; supports/brim excluded; before any manual finishing, not measured mass"
FSU1,Curved forward upper service cover,10.192322888308697,8.622705163509156,12.230787465970435,0.00035457562400325053,-65.0000950590891,29.61143687300064,"Developed blank area times 500 g/m2, range423–600; conservative before inner-paper/core removal; weigh board"
FSU2,Curved aft upper service cover,12.022383016413476,10.1709360318858,14.42685961969617,0.07685108902315141,310.1784856138319,28.22543418716543,"Developed blank area times 500 g/m2, range423–600; conservative before inner-paper/core removal; weigh board"
FSL1,Original centre lower skin,29.017145621499996,24.548505195788994,34.820574745799995,0.00916139588031654,54.060139754089526,-28.864528276372255,"Developed blank area times 500 g/m2, range423–600; conservative before inner-paper/core removal; weigh board"
FSL2,Original aft lower skin,11.72071580703935,9.91572557275529,14.06485896844722,-0.2585635637667333,313.73511966316795,-28.103130759435164,"Developed blank area times 500 g/m2, range423–600; conservative before inner-paper/core removal; weigh board"
FSL0,Original forward lower skin,16.135941550000002,13.651006551300002,19.36312986,-0.009775342015770664,-232.31829344469426,-28.769127663850814,"Developed blank area times 500 g/m2, range423–600; conservative before inner-paper/core removal; weigh board"
FSL3,Original rear lower skin,13.596165142696051,11.50235571072086,16.315398171235262,-10.226791698575132,490.53894513552245,-23.733105537535973,"Developed blank area times 500 g/m2, range423–600; conservative before inner-paper/core removal; weigh board"
FLR,R continuous load longeron,15.422400000028025,11.56680000002102,19.278000000035036,39.14705882352547,227.00000000038148,-3.0,Finished CAD volume times assumed plywood density; weigh actual part
FLL,L continuous load longeron,15.422399999972153,11.566799999979116,19.277999999965193,-39.14705882352467,226.99999999962307,-3.0,Finished CAD volume times assumed plywood density; weigh actual part
FF1,Original contour open former,0.9950757521245553,0.621922345077847,1.3682291591712636,2.1494799936186536e-05,-2.4999999999999214,23.54746705386197,Finished CAD volume times assumed balsa density; weigh actual part
FF3,Original contour open former,0.7635359481313557,0.4772099675820973,1.0498619286806141,0.19620125486346787,387.1499966393421,24.10421191403049,Finished CAD volume times assumed balsa density; weigh actual part
FK,Lightened lower longitudinal keel,59.69366569243246,44.77024926932435,74.61708211554058,0.0,147.25312712483105,-20.711611061765108,Finished CAD volume times assumed plywood density; weigh actual part
FX0L,Forward cross tie outer L,0.3347999999999999,0.25109999999999993,0.4184999999999999,-31.25,-127.0,-3.0,Finished CAD volume times assumed plywood density; weigh actual part
FX0R,Forward cross tie outer R,0.3347999999999999,0.25109999999999993,0.4184999999999999,31.25,-127.0,-3.0,Finished CAD volume times assumed plywood density; weigh actual part
FX1,Lower rail cross tie,1.6847999999999996,1.2635999999999998,2.106,0.0,3.0,-3.0,Finished CAD volume times assumed plywood density; weigh actual part
FX2,Lower rail cross tie,1.6847999999999996,1.2635999999999998,2.106,0.0,236.64999999999998,-3.0,Finished CAD volume times assumed plywood density; weigh actual part
FX3,Lower rail cross tie,1.6846353556707745,1.263476516753081,2.1057941945884684,-2.8327309433099425e-13,387.6497279767109,-2.999999999999999,Finished CAD volume times assumed plywood density; weigh actual part
FBT,Lower adjustable battery tray,77.29199999999999,57.968999999999994,96.615,-0.49045179319981497,-202.12505822077316,-9.000000000000002,Finished CAD volume times assumed plywood density; weigh actual part
FBWR,R lowered tray support web,11.807999999999996,8.855999999999998,14.759999999999998,32.99999999999999,-197.07825203252037,-18.403455284552837,Finished CAD volume times assumed plywood density; weigh actual part
FBWL,L lowered tray support web,11.807999999999996,8.855999999999998,14.759999999999998,-32.99999999999999,-197.07825203252037,-18.403455284552837,Finished CAD volume times assumed plywood density; weigh actual part
FBC,Battery box lower cross tie,1.2959999999999996,0.9719999999999998,1.6199999999999997,0.0,-331.99999999999994,-22.0,Finished CAD volume times assumed plywood density; weigh actual part
FGPS,GPS shelf,2.1759999999999997,1.3599999999999997,2.991999999999999,0.0,-300.0,49.50000000000001,Finished CAD volume times assumed balsa density; weigh actual part
FGPR,GPS shelf post,1.696,1.0599999999999998,2.332,31.5,-300.0,20.499999999999996,Finished CAD volume times assumed balsa density; weigh actual part
FGPL,GPS shelf post,1.696,1.0599999999999998,2.332,-31.5,-300.0,20.499999999999996,Finished CAD volume times assumed balsa density; weigh actual part
FEQ,Aft FC and receiver deck,4.895999999999999,3.0599999999999996,6.731999999999998,0.0,293.0,2.5,Finished CAD volume times assumed balsa density; weigh actual part
FEC0,Equipment deck cross tie,0.312,0.19499999999999998,0.429,0.0,250.5,-2.5,Finished CAD volume times assumed balsa density; weigh actual part
FEC1,Equipment deck cross tie,0.312,0.19499999999999998,0.429,0.0,335.5,-2.5,Finished CAD volume times assumed balsa density; weigh actual part
FES0,Simple ESC support strip,0.43199999999999994,0.26999999999999996,0.594,0.0,352.0,2.4999999999999996,Finished CAD volume times assumed balsa density; weigh actual part
FES1,Simple ESC support strip,0.43199999999999994,0.26999999999999996,0.594,0.0,378.0,2.4999999999999996,Finished CAD volume times assumed balsa density; weigh actual part
FTM0,Simple radio tie strip,0.35999999999999993,0.22499999999999998,0.49499999999999994,-8.084397349092697e-16,152.5,2.5,Finished CAD volume times assumed balsa density; weigh actual part
FTM1,Simple radio tie strip,0.35999999999999993,0.22499999999999998,0.49499999999999994,-8.084397349092697e-16,192.5,2.5,Finished CAD volume times assumed balsa density; weigh actual part
