pattern_id,assembly_id,page,tile_column,tile_row,x0_mm,y0_mm
FLR,FLR,1,1,1,0.0,0.0
FLR,FLR,2,1,2,0.0,225.0
FLR,FLR,3,1,3,0.0,450.0
FLR,FLR,4,1,4,0.0,675.0
FLL,FLL,5,1,1,0.0,0.0
FLL,FLL,6,1,2,0.0,225.0
FLL,FLL,7,1,3,0.0,450.0
FLL,FLL,8,1,4,0.0,675.0
FF1,FF1,9,1,1,0.0,0.0
FF3,FF3,10,1,1,-46.22193,-17.52279
FK,FK,11,1,1,0.0,0.0
FK,FK,12,1,2,0.0,225.0
FK,FK,13,1,3,0.0,450.0
FK,FK,14,1,4,0.0,675.0
FK,FK,15,1,5,0.0,900.0
FX0L,FX0L,16,1,1,0.0,0.0
FX0R,FX0R,17,1,1,0.0,0.0
FX1,FX1,18,1,1,0.0,0.0
FX2,FX2,19,1,1,0.0,0.0
FX3,FX3,20,1,1,-3.0,-39.0
FBT,FBT,21,1,1,0.0,0.0
FBT,FBT,22,1,2,0.0,225.0
FBWR,FBWR,23,1,1,0.0,0.0
FBWR,FBWR,24,1,2,0.0,225.0
FBWL,FBWL,25,1,1,0.0,0.0
FBWL,FBWL,26,1,2,0.0,225.0
FBC,FBC,27,1,1,0.0,0.0
FGPS,FGPS,28,1,1,0.0,0.0
FGPR,FGPR,29,1,1,0.0,0.0
FGPL,FGPL,30,1,1,0.0,0.0
FEQ,FEQ,31,1,1,0.0,0.0
FEC0,FEC0,32,1,1,0.0,0.0
FEC1,FEC1,33,1,1,0.0,0.0
FES0,FES0,34,1,1,0.0,0.0
FES1,FES1,35,1,1,0.0,0.0
FTM0,FTM0,36,1,1,0.0,0.0
FTM1,FTM1,37,1,1,0.0,0.0
FMF,FMF,38,1,1,0.0,0.0
FMT,FMT,39,1,1,0.0,0.0
FMGR,FMGR,40,1,1,0.0,0.0
FMGL,FMGL,41,1,1,0.0,0.0
FMGB,FMGB,42,1,1,0.0,0.0
FNG1,FNG1,43,1,1,0.0,0.0
FNG2,FNG2,44,1,1,0.0,0.0
FNG3,FNG3,45,1,1,0.0,0.0
FNG4,FNG4,46,1,1,0.0,0.0
FF0R,FF0R,47,1,1,-22.82337,-21.33373
FF0U,FF0U,48,1,1,0.0,0.0
FF0L,FF0L,49,1,1,-22.82336,-21.33374
FF2R,FF2R,50,1,1,0.0,0.0
FF2U,FF2U,51,1,1,0.0,0.0
FF2L,FF2L,52,1,1,0.0,0.0
WRRI,WRRI,53,1,1,-9.47577,-100.43032
WRRM_1,WRRM_1,54,1,1,-7.16158,-17.90934
WRRM_2,WRRM_2,55,1,1,-7.88043,-54.71681
WRRO_1,WRRO_1,56,1,1,-6.24402,-22.78131
WRRO_2,WRRO_2,57,1,1,-6.61974,-34.81901
JR1,JR1,58,1,1,-9.30142,-136.26163
JR1,JR1,59,1,2,-9.30142,88.73837
JR2,JR2,60,1,1,-9.30142,-136.26163
JR2,JR2,61,1,2,-9.30142,88.73837
JR3,JR3,62,1,1,-9.30142,-136.26163
JR3,JR3,63,1,2,-9.30142,88.73837
WLRI,WLRI,64,1,1,-9.47577,-100.43032
WLRM_1,WLRM_1,65,1,1,-7.16158,-17.90934
WLRM_2,WLRM_2,66,1,1,-7.88043,-54.71681
WLRO_1,WLRO_1,67,1,1,-7.58864,-22.78093
WLRO_2,WLRO_2,68,1,1,-6.92829,-34.81902
JL1,JL1,69,1,1,-9.30142,-141.58837
JL1,JL1,70,1,2,-9.30142,83.41163
JL2,JL2,71,1,1,-9.30142,-141.58837
JL2,JL2,72,1,2,-9.30142,83.41163
JL3,JL3,73,1,1,-9.30142,-141.58837
JL3,JL3,74,1,2,-9.30142,83.41163
JF,JF,75,1,1,-8.5,-50.0
JB,JB,76,1,1,-8.47625,-50.0
JLOW,JLOW,77,1,1,-50.0,-15.15
JTOP,JTOP,78,1,1,-50.0,-15.15
TROOT,TROOT,79,1,1,-9.14895,-38.0
TRS,TRS,80,1,1,-94.02698,-130.0
TRS,TRS,81,2,1,75.97302,-130.0
TRS,TRS,82,1,2,-94.02698,95.0
TRS,TRS,83,2,2,75.97302,95.0
TLS,TLS,84,1,1,-94.02698,-130.0
TLS,TLS,85,2,1,75.97302,-130.0
TLS,TLS,86,1,2,-94.02698,95.0
TLS,TLS,87,2,2,75.97302,95.0
MTR,MTR,88,1,1,-16.9732,-18.5536
MTL,MTL,89,1,1,-17.0268,-18.5536
ARP,ARP,90,1,1,147.75,5.90591
ALP,ALP,91,1,1,147.75,-20.63686
TRCP,TRCP,92,1,1,492.35055,-12.35721
TLCP,TLCP,93,1,1,492.35055,1.85721
LCR,LCR,94,1,1,-450.01229,-27.97594
LCR,LCR,95,2,1,-280.01229,-27.97594
LCR,LCR,96,3,1,-110.01229000000001,-27.97594
LCR,LCR,97,4,1,59.98770999999999,-27.97594
LCR,LCR,98,5,1,229.98771,-27.97594
LCR,LCR,99,6,1,399.98771,-27.97594
WBR,WBR,100,1,1,-485.41202,-4.86256
WBR,WBR,101,2,1,-315.41202,-4.86256
WBR,WBR,102,3,1,-145.41201999999998,-4.86256
WBR,WBR,103,4,1,24.587980000000016,-4.86256
WBR,WBR,104,5,1,194.58798000000002,-4.86256
LCL,LCL,105,1,1,-450.01229,-27.97594
LCL,LCL,106,2,1,-280.01229,-27.97594
LCL,LCL,107,3,1,-110.01229000000001,-27.97594
LCL,LCL,108,4,1,59.98770999999999,-27.97594
LCL,LCL,109,5,1,229.98771,-27.97594
LCL,LCL,110,6,1,399.98771,-27.97594
WBL,WBL,111,1,1,-315.22773,-4.86256
WBL,WBL,112,2,1,-145.22773,-4.86256
WBL,WBL,113,3,1,24.772269999999992,-4.86256
WBL,WBL,114,4,1,194.77227,-4.86256
WBL,WBL,115,5,1,364.77227,-4.86256
GLEG_L,GLEG_L,116,1,1,-97.0,-77.0
GLEG_L,GLEG_L,117,2,1,73.0,-77.0
GLEG_R,GLEG_R,118,1,1,-97.0,-77.0
GLEG_R,GLEG_R,119,2,1,73.0,-77.0
GLEG_N,GLEG_N,120,1,1,-90.0,-8.0
SKIN_F09,FSL0,121,1,1,5.0,5.0
SKIN_F10,FSL0,122,1,1,5.0,5.0
SKIN_F11,FSL1,123,1,1,5.0,5.0
SKIN_F11,FSL1,124,1,2,5.0,230.0
SKIN_F12,FSL1,125,1,1,5.0,5.0
SKIN_F12,FSL1,126,1,2,5.0,230.0
SKIN_F13,FSL0,127,1,1,5.0,5.0
SKIN_F14,FSL0,128,1,1,5.0,5.0
SKIN_F15,FSL0,129,1,1,5.0,5.0
SKIN_F16,FSL1,130,1,1,5.0,5.0
SKIN_F16,FSL1,131,1,2,5.0,230.0
SKIN_F17,FSL1,132,1,1,5.0,5.0
SKIN_F17,FSL1,133,1,2,5.0,230.0
SKIN_F18,FSL1,134,1,1,5.0,5.0
SKIN_F18,FSL1,135,1,2,5.0,230.0
SKIN_F19,FSL2,136,1,1,5.0,5.0
SKIN_F20,FSL2,137,1,1,5.0,5.0
SKIN_F21,FSL2,138,1,1,5.0,5.0
SKIN_F22,FSL2,139,1,1,5.0,5.0
SKIN_F23,FSU2,140,1,1,5.0,5.0
SKIN_F24,FSU2,141,1,1,5.0,5.0
SKIN_F25,FSU1,142,1,1,5.0,5.0
SKIN_F26,FSU1,143,1,1,5.0,5.0
SKIN_F27,FSL3,144,1,1,5.0,5.0
SKIN_F28,FSL3,145,1,1,5.0,5.0
SKIN_F29,FSL3,146,1,1,5.0,5.0
SKIN_F30,FSL3,147,1,1,5.0,5.0
SKIN_F33,FSL2,148,1,1,5.0,5.0
SKIN_WLIN_F01,WLIN,149,1,1,5.0,5.0
SKIN_WLIN_F01,WLIN,150,2,1,175.0,5.0
SKIN_WLIN_F01,WLIN,151,3,1,345.0,5.0
SKIN_WLIN_F01,WLIN,152,1,2,5.0,230.0
SKIN_WLIN_F01,WLIN,153,2,2,175.0,230.0
SKIN_WLIN_F01,WLIN,154,3,2,345.0,230.0
SKIN_WRIN_F02,WRIN,155,1,1,5.0,5.0
SKIN_WRIN_F02,WRIN,156,2,1,175.0,5.0
SKIN_WRIN_F02,WRIN,157,3,1,345.0,5.0
SKIN_WRIN_F02,WRIN,158,1,2,5.0,230.0
SKIN_WRIN_F02,WRIN,159,2,2,175.0,230.0
SKIN_WRIN_F02,WRIN,160,3,2,345.0,230.0
SKIN_WROUT_F03,WROUT,161,1,1,5.0,5.0
SKIN_WROUT_F03,WROUT,162,2,1,175.0,5.0
SKIN_WROUT_F03,WROUT,163,1,2,5.0,230.0
SKIN_WROUT_F03,WROUT,164,2,2,175.0,230.0
SKIN_WROUT_F03,WROUT,165,1,3,5.0,455.0
SKIN_WROUT_F03,WROUT,166,2,3,175.0,455.0
SKIN_WLOUT_F04,WLOUT,167,1,1,5.0,5.0
SKIN_WLOUT_F04,WLOUT,168,2,1,175.0,5.0
SKIN_WLOUT_F04,WLOUT,169,1,2,5.0,230.0
SKIN_WLOUT_F04,WLOUT,170,2,2,175.0,230.0
SKIN_WLOUT_F04,WLOUT,171,1,3,5.0,455.0
SKIN_WLOUT_F04,WLOUT,172,2,3,175.0,455.0
SKIN_TRF_F05,TRF,173,1,1,5.0,5.0
SKIN_TRF_F05,TRF,174,1,2,5.0,230.0
SKIN_TLF_F06,TLF,175,1,1,5.0,5.0
SKIN_TLF_F06,TLF,176,1,2,5.0,230.0
SKIN_TRF_F07,TRF,177,1,1,5.0,5.0
