speed_m_s,assumed_CD0,assumed_e,assumed_efficiency,required_CL,electrical_W,current_at_14V_A,energy_only_minutes_at_80percent_5p2Ah
12,0.04,0.65,0.45,0.9306984549559522,61.73434993603456,4.409596424002468,56.60381948818913
12,0.04,0.65,0.65,0.9306984549559522,45.8160884172547,3.272577744089621,76.27015139694863
12,0.04,0.85,0.45,0.9306984549559522,56.29857635814003,4.021326882724288,62.06906508204726
12,0.04,0.85,0.65,0.9306984549559522,42.052860555635405,3.0037757539739576,83.09541738253343
12,0.08,0.65,0.45,0.9306984549559522,90.36666216601738,6.454761583286955,38.66912770973275
12,0.08,0.65,0.65,0.9306984549559522,65.63845842262742,4.688461315901959,53.23708210056594
12,0.08,0.85,0.45,0.9306984549559522,84.93088858812287,6.066492042008776,41.144041444642006
12,0.08,0.85,0.65,0.9306984549559522,61.87523056100814,4.419659325786296,56.474941076050925
16,0.04,0.65,0.45,0.5235178809127231,95.19571282468327,6.799693773191662,36.7075354163842
16,0.04,0.65,0.65,0.5235178809127231,68.98164734016535,4.927260524297525,50.65695202621446
16,0.04,0.85,0.45,0.5235178809127231,91.11888264126237,6.508491617233027,38.34989958950169
16,0.04,0.85,0.65,0.5235178809127231,66.15922644395087,4.7256590317107765,52.81802989278305
16,0.08,0.65,0.45,0.5235178809127231,163.06489736982775,11.64749266927341,21.429504794491578
16,0.08,0.65,0.65,0.5235178809127231,115.96800587141921,8.283428990815658,30.132448805530505
16,0.08,0.85,0.45,0.5235178809127231,158.98806718640688,11.356290513314777,21.97900799626026
16,0.08,0.85,0.65,0.5235178809127231,113.14558497520476,8.081827498228911,30.884103880551585
20,0.04,0.65,0.45,0.33505144378414276,156.41822368836634,11.172730263454739,22.340107933727275
20,0.04,0.65,0.65,0.33505144378414276,111.36646255348438,7.954747325248884,31.377489415377585
20,0.04,0.85,0.45,0.33505144378414276,153.15675954162964,10.939768538687831,22.815839212438974
20,0.04,0.85,0.65,0.33505144378414276,109.10852583651283,7.793466131179487,32.02682808890642
20,0.08,0.65,0.45,0.33505144378414276,288.97522475310166,20.641087482364405,12.092386130975727
20,0.08,0.65,0.65,0.33505144378414276,203.1366940598396,14.509763861417115,17.20220965578295
20,0.08,0.85,0.45,0.33505144378414276,285.71376060636493,20.408125757597496,12.230422478021012
20,0.08,0.85,0.65,0.33505144378414276,200.87875734286803,14.348482667347715,17.395567586251126
