pattern,builder_name,assembly_component,quantity,source_STEP,source_inventory_id,source_face_zero_based,assembly_y_min_mm,assembly_y_max_mm
F01,Left inner wing,A52,1,MQ9 Assembled v28 - Inner_Wing v1.step,P20,9,4.644772535373075,232.31192052068
F02,Right inner wing,A49,1,MQ9 Assembled v28 - Inner_Wing v1 (1).step,P19,9,4.644772535373379,232.31192052067993
F03,Right outer wing,A38,1,MQ9 Assembled v28 - Outer_Wing v1 (1).step,P55,13,43.622257069147906,193.42329486305943
F04,Left outer wing,A27,1,MQ9 Assembled v28 - Outer_Wing v1 (3).step,P57,13,43.622256887013194,193.4232948630594
F05,Right fixed tail - main,A57,1,MQ9 Assembled v28 - V_Tail_Stabilizer v1.step,P62,0,407.89789752131827,531.100545435771
F06,Left fixed tail - main,A22,1,MQ9 Assembled v28 - V_Tail_Stabilizer v1 (1).step,P61,0,407.89789752131827,531.1005454357711
F07,Right fixed tail - root collar,A57,1,MQ9 Assembled v28 - V_Tail_Stabilizer v1.step,P62,0,396.0988205424618,491.10054543574716
F08,Left fixed tail - root collar,A22,1,MQ9 Assembled v28 - V_Tail_Stabilizer v1 (1).step,P61,0,396.0988205424618,491.10054543574716
F09,Forward lower fuselage - left curve,A56,1,MQ9 Assembled v28 - MQ9 Assembled v28 (3).step,P44,9,-335.0,-130.0
F10,Forward lower fuselage - right curve,A56,1,MQ9 Assembled v28 - MQ9 Assembled v28 (3).step,P44,11,-335.0,-129.99999999999991
F11,Middle lower fuselage - right curve,A17,1,MQ9 Assembled v28 - MQ9 Assembled v28 (21).step,P36,17,-130.0,238.6500000000001
F12,Middle lower fuselage - left curve,A17,1,MQ9 Assembled v28 - MQ9 Assembled v28 (21).step,P36,19,-130.00000000000009,238.64999999999998
F13,Forward lower fuselage - left lip,A56,1,MQ9 Assembled v28 - MQ9 Assembled v28 (3).step,P44,8,-335.0000000000001,-130.0
F14,Forward lower fuselage - bottom strip,A56,1,MQ9 Assembled v28 - MQ9 Assembled v28 (3).step,P44,10,-335.0,-130.0
F15,Forward lower fuselage - right lip,A56,1,MQ9 Assembled v28 - MQ9 Assembled v28 (3).step,P44,12,-335.0,-129.99999999999991
F16,Middle lower fuselage - left lip,A17,1,MQ9 Assembled v28 - MQ9 Assembled v28 (21).step,P36,2,-130.00000000000009,238.64999999999998
F17,Middle lower fuselage - right lip,A17,1,MQ9 Assembled v28 - MQ9 Assembled v28 (21).step,P36,16,-130.0,238.6500000000001
F18,Middle lower fuselage - bottom strip,A17,1,MQ9 Assembled v28 - MQ9 Assembled v28 (21).step,P36,18,-130.0,238.64999999999998
F19,Aft lower fuselage - left lip,A42,1,MQ9 Assembled v28 - MQ9 Assembled v28 (10).step,P24,16,238.64999999999998,389.64999663263
F20,Aft lower fuselage - left curve,A42,1,MQ9 Assembled v28 - MQ9 Assembled v28 (10).step,P24,17,238.649980220668,389.6500153096748
F21,Aft lower fuselage - right curve,A42,1,MQ9 Assembled v28 - MQ9 Assembled v28 (10).step,P24,19,238.64998662362896,389.65001348232124
F22,Aft lower fuselage - right lip,A42,1,MQ9 Assembled v28 - MQ9 Assembled v28 (10).step,P24,20,238.64999999999998,389.64999663263
F23,Aft upper fuselage - left,A15,1,MQ9 Assembled v28 - MQ9 Assembled v28 (22).step,P37,11,233.64999999999992,389.6499966324109
F24,Aft upper fuselage - right,A15,1,MQ9 Assembled v28 - MQ9 Assembled v28 (22).step,P37,13,233.64999999999083,389.6500194161746
F25,Forward upper fuselage - right,A08,1,MQ9 Assembled v28 - MQ9 Assembled v28 (25).step,P40,6,-130.00000000000003,2.4158453015843406e-13
F26,Forward upper fuselage - left,A08,1,MQ9 Assembled v28 - MQ9 Assembled v28 (25).step,P40,8,-130.0,1.4210854715202004e-13
F27,Rear underside band 1 - forward,A20,1,MQ9 Assembled v28 - MQ9 Assembled v28 (18).step,P32,14,389.64999663262006,442.80895230075214
F28,Rear underside band 2,A20,1,MQ9 Assembled v28 - MQ9 Assembled v28 (18).step,P32,14,442.8089522997151,495.6952714182564
F29,Rear underside band 3,A20,1,MQ9 Assembled v28 - MQ9 Assembled v28 (18).step,P32,14,495.69527141813217,548.3089539882287
F30,Rear underside band 4 - aft,A20,1,MQ9 Assembled v28 - MQ9 Assembled v28 (18).step,P32,14,548.3089539847616,600.650000009668
F31,Right tail control laminate blank,A41,2,tail_control_A.step,assembled A41,2,501.1005455778526,536.1005455778649
F32,Left tail control laminate blank,A60,2,tail_control_B.step,assembled A60,2,501.10054557785,536.1005455778597
F33,Aft lower fuselage - bottom strip,A42,1,MQ9 Assembled v28 - MQ9 Assembled v28 (10).step,P24,18,238.64999999999998,389.64999663262984
