pattern,name,quantity,board_mm,file,forming_note
F01,Left inner wing,1,5,DXF/F01_Left_inner_wing.dxf,Preserved outside paper reference; see forming guide
F02,Right inner wing,1,5,DXF/F02_Right_inner_wing.dxf,Preserved outside paper reference; see forming guide
F03,Right outer wing,1,5,DXF/F03_Right_outer_wing.dxf,Preserved outside paper reference; see forming guide
F04,Left outer wing,1,5,DXF/F04_Left_outer_wing.dxf,Preserved outside paper reference; see forming guide
F05,Right fixed tail - main,1,5,DXF/F05_Right_fixed_tail_main.dxf,Preserved outside paper reference; see forming guide
F06,Left fixed tail - main,1,5,DXF/F06_Left_fixed_tail_main.dxf,Preserved outside paper reference; see forming guide
F07,Right fixed tail - root collar,1,5,DXF/F07_Right_fixed_tail_root_collar.dxf,Preserved outside paper reference; see forming guide
F08,Left fixed tail - root collar,1,5,DXF/F08_Left_fixed_tail_root_collar.dxf,Preserved outside paper reference; see forming guide
F09,Forward lower fuselage - left curve,1,5,DXF/F09_Forward_lower_fuselage_left_curve.dxf,Preserved outside paper reference; see forming guide
F10,Forward lower fuselage - right curve,1,5,DXF/F10_Forward_lower_fuselage_right_curve.dxf,Preserved outside paper reference; see forming guide
F11,Middle lower fuselage - right curve,1,5,DXF/F11_Middle_lower_fuselage_right_curve.dxf,Preserved outside paper reference; see forming guide
F12,Middle lower fuselage - left curve,1,5,DXF/F12_Middle_lower_fuselage_left_curve.dxf,Preserved outside paper reference; see forming guide
F13,Forward lower fuselage - left lip,1,5,DXF/F13_Forward_lower_fuselage_left_lip.dxf,Preserved outside paper reference; see forming guide
F14,Forward lower fuselage - bottom strip,1,5,DXF/F14_Forward_lower_fuselage_bottom_strip.dxf,Preserved outside paper reference; see forming guide
F15,Forward lower fuselage - right lip,1,5,DXF/F15_Forward_lower_fuselage_right_lip.dxf,Preserved outside paper reference; see forming guide
F16,Middle lower fuselage - left lip,1,5,DXF/F16_Middle_lower_fuselage_left_lip.dxf,Preserved outside paper reference; see forming guide
F17,Middle lower fuselage - right lip,1,5,DXF/F17_Middle_lower_fuselage_right_lip.dxf,Preserved outside paper reference; see forming guide
F18,Middle lower fuselage - bottom strip,1,5,DXF/F18_Middle_lower_fuselage_bottom_strip.dxf,Preserved outside paper reference; see forming guide
F19,Aft lower fuselage - left lip,1,5,DXF/F19_Aft_lower_fuselage_left_lip.dxf,Preserved outside paper reference; see forming guide
F20,Aft lower fuselage - left curve,1,5,DXF/F20_Aft_lower_fuselage_left_curve.dxf,Preserved outside paper reference; see forming guide
F21,Aft lower fuselage - right curve,1,5,DXF/F21_Aft_lower_fuselage_right_curve.dxf,Preserved outside paper reference; see forming guide
F22,Aft lower fuselage - right lip,1,5,DXF/F22_Aft_lower_fuselage_right_lip.dxf,Preserved outside paper reference; see forming guide
F23,Aft upper fuselage - left,1,5,DXF/F23_Aft_upper_fuselage_left.dxf,Preserved outside paper reference; see forming guide
F24,Aft upper fuselage - right,1,5,DXF/F24_Aft_upper_fuselage_right.dxf,Preserved outside paper reference; see forming guide
F25,Forward upper fuselage - right,1,5,DXF/F25_Forward_upper_fuselage_right.dxf,Preserved outside paper reference; see forming guide
F26,Forward upper fuselage - left,1,5,DXF/F26_Forward_upper_fuselage_left.dxf,Preserved outside paper reference; see forming guide
F27,Rear underside band 1 - forward,1,5,DXF/F27_Rear_underside_band_1_forward.dxf,Preserved outside paper reference; see forming guide
F28,Rear underside band 2,1,5,DXF/F28_Rear_underside_band_2.dxf,Preserved outside paper reference; see forming guide
F29,Rear underside band 3,1,5,DXF/F29_Rear_underside_band_3.dxf,Preserved outside paper reference; see forming guide
F30,Rear underside band 4 - aft,1,5,DXF/F30_Rear_underside_band_4_aft.dxf,Preserved outside paper reference; see forming guide
F31,Right tail control laminate blank,2,5,DXF/F31_Right_tail_control_laminate_blank.dxf,2 layers laminated for each tail control blank
F32,Left tail control laminate blank,2,5,DXF/F32_Left_tail_control_laminate_blank.dxf,2 layers laminated for each tail control blank
F33,Aft lower fuselage - bottom strip,1,5,DXF/F33_Aft_lower_fuselage_bottom_strip.dxf,Preserved outside paper reference; see forming guide
