pattern,poster,rotation_deg,pages_with_pattern,complete_outline_pages,single_page_fit,source_DXF_sha256
F01,S01,0,"2,3,4,5,6,7",,False,96387decb6e62d991ec54a6888d51d49f447e68595fa02b78b52d5e66a96dcb9
F02,S02,0,"8,9,10,11,12,13",,False,58728602ec3b158960c96b8bbd63fe18b8ad4ef2fb0e48a5af23ea93744d9fbe
F03,S03,90,"14,15,16",,False,e23fca90de8b71cf057c44e81373865e7d006507adc0e2c896dc7a0031502426
F04,S04,90,"17,18,19",,False,1ac990aba93afba00dfa82a38059ff35a3e7ce43033adb71a0c454fa4ef9d4ea
F05,S05,0,"20,21",,False,720aae839465adf8df92579b48262647e3288e0fd7fb316dd1733113f8e0c30c
F06,S06,0,"22,23",,False,d9b32a169b115e3ef8dd07e4062ad7a70243ace1b4256373cd120580a5c32152
F07,S02,0,"10,13",13,True,5f303d16b3eb8a0de32a63088c90d2e50a4681b46ec38848e6dba513ecca1207
F08,S01,45,"6,7",7,True,38c93a943260bafb56686dab90f11acce7a444e569ba694a21a4a9245bd902c1
F09,S02,0,"10,13",13,True,d6c1873935eae69aae3f29aca28dfca304fa080ec6495bbd2f1f902402b828b9
F10,S02,0,10,10,True,9748d4ad4bb60d35f1bd66fa28b021b26167682d56b822608206c93c143ad5c7
F11,S01,0,"4,7",,False,4d4f071ee751446474cdcc9ecb7093f3a4dc3d6869eb5567cfc0e9d0bd378174
F12,S01,90,"5,6",,False,8965d074771fe878d557901e9e3ff87d3cdc007ba617dd3337351752522fcf9a
F13,S06,0,23,23,True,a92577819b2ba32f7b5db651600039a661947b52220405e1fad6d14ba3e7c4a7
F14,S01,0,"4,7",4,True,7c3570088b23d75df88d9bf6e0e89aff0a962231e9efc1a9b63d554363740ef7
F15,S06,0,"22,23",23,True,61bc746e01a059e9c026a6d35398d084d1e78d626152ebd9f2e3d1519f8a75fa
F16,S01,0,"4,7",,False,61dd3ea5dee5560262dc1b14f344b681b7ff93013252be325a6f103135c36728
F17,S01,0,"4,7",,False,fbcc7a59846981a9434957c42b01bd4f822ad064b0d04903956428fb9c39f59a
F18,S01,0,"4,7",,False,1e77a79a6cca5bb83f5aa26d2849edbc40006b94f6f490029e0287d57f876a74
F19,S01,0,5,5,True,9a2abe728e5f3cc0efe722cb43ea4d58dd33c2bfe4486deaa881cd6e5426aec7
F20,S03,90,"15,16",15,True,f916e5d21d7affcfa11ac48aa2fd2b77d837ced5957f9d2da747759e15b93cde
F21,S02,90,"12,13",13,True,742c52a05e75470798d77ba78389fce74a3d8ca0136790e214800ca356f7782a
F22,S01,0,"2,5",5,True,7b7f40d84facf97666bed61b6fb9dd707004c27167d87d4b2455ecb991095187
F23,S02,90,"11,12",12,True,d7bcb74f6403139d8326062f7cc1271438c309be2042d7ad5989a1752744b3d0
F24,S02,90,11,11,True,2f79ee820b47528e50e2c935291fdc9ae3dab673a41f33fed445501391dd9144
F25,S05,0,21,21,True,1a4a673d78424fadbbdb71c9bc33a28be2d36ca029a2beb48818fcf9f6bfb9b3
F26,S05,0,21,21,True,1b260b5f6f8d42e0f639af9bf161cf66b18ccc3ac327502c1dca2dd6b3cece0f
F27,S04,0,19,19,True,8438c4765dfebd4cf92c8659904e2eec7615d29bc3e13a5452126fa313a06120
F28,S04,90,"18,19",18,True,42c2b6a0a6b33d0ae00057ad2797f71eb169e1b7fdf38b4b39645e8eb61a3f59
F29,S05,0,21,21,True,a0d9427ece4dc6a039b9a97faf3009ec82f8234488d2823f6df4ed7144b5a444
F30,S01,45,7,7,True,90738eebb34a075b8202166e734675718c61aca4a50635e6357b9949e2027f15
F31,S02,0,"10,13",10,True,fb4d8d3808b2ad7abd1e03d3f8c84640c17b88ba5b6771e1ad6b833328ac3a16
F32,S03,0,16,16,True,59fdf06650c2c89e84815b2ea32341f9dd36919d605b238c4b5880c9628a41d1
F33,S01,0,2,2,True,eb25f6273bfbe636403630f3bb7683864b4950951c05919aa5942472cb5943ec
