pattern,format,angle_deg,actual_width_mm,actual_height_mm,usable_width_mm,usable_height_mm,fits_actual_5mm_margin_page,minimum_grid_columns,minimum_grid_rows,minimum_pages_for_this_case
F01,portrait,0,443.05563430306336,455.6246842331172,200.0,287.0,False,3,2,6
F01,portrait,90,455.6246842331172,443.05563430306336,200.0,287.0,False,3,2,6
F01,portrait,45,578.0843347071392,574.3462070698974,200.0,287.0,False,3,3,9
F01,portrait,135,574.3462070698974,578.0843347071391,200.0,287.0,False,3,3,9
F01,landscape,0,443.05563430306336,455.6246842331172,287.0,200.0,False,2,3,6
F01,landscape,90,455.6246842331172,443.05563430306336,287.0,200.0,False,2,3,6
F01,landscape,45,578.0843347071392,574.3462070698974,287.0,200.0,False,3,3,9
F01,landscape,135,574.3462070698974,578.0843347071391,287.0,200.0,False,3,3,9
F02,portrait,0,443.05481150471337,455.6243317611336,200.0,287.0,False,3,2,6
F02,portrait,90,455.6243317611336,443.05481150471337,200.0,287.0,False,3,2,6
F02,portrait,45,578.0851528315798,574.3447234028305,200.0,287.0,False,3,3,9
F02,portrait,135,574.3447234028304,578.0851528315796,200.0,287.0,False,3,3,9
F02,landscape,0,443.05481150471337,455.6243317611336,287.0,200.0,False,2,3,6
F02,landscape,90,455.6243317611336,443.05481150471337,287.0,200.0,False,2,3,6
F02,landscape,45,578.0851528315798,574.3447234028305,287.0,200.0,False,3,3,9
F02,landscape,135,574.3447234028304,578.0851528315796,287.0,200.0,False,3,3,9
F03,portrait,0,237.07397795549542,514.6768469098567,200.0,287.0,False,2,2,4
F03,portrait,90,514.6768469098567,237.07397795549542,200.0,287.0,False,3,1,3
F03,portrait,45,497.3574262060346,475.4931974013756,200.0,287.0,False,3,2,6
F03,portrait,135,475.49319740137554,497.35742620603446,200.0,287.0,False,3,2,6
F03,landscape,0,237.07397795549542,514.6768469098567,287.0,200.0,False,1,3,3
F03,landscape,90,514.6768469098567,237.07397795549542,287.0,200.0,False,2,2,4
F03,landscape,45,497.3574262060346,475.4931974013756,287.0,200.0,False,2,3,6
F03,landscape,135,475.49319740137554,497.35742620603446,287.0,200.0,False,2,3,6
F04,portrait,0,237.07397789910505,514.675656005605,200.0,287.0,False,2,2,4
F04,portrait,90,514.675656005605,237.07397789910505,200.0,287.0,False,3,1,3
F04,portrait,45,497.3325519331547,475.51628929235335,200.0,287.0,False,3,2,6
F04,portrait,135,475.51628929235335,497.3325519331547,200.0,287.0,False,3,2,6
F04,landscape,0,237.07397789910505,514.675656005605,287.0,200.0,False,1,3,3
F04,landscape,90,514.675656005605,237.07397789910505,287.0,200.0,False,2,2,4
F04,landscape,45,497.3325519331547,475.51628929235335,287.0,200.0,False,2,3,6
F04,landscape,135,475.51628929235335,497.3325519331547,287.0,200.0,False,2,3,6
F05,portrait,0,177.37640595554055,290.4799374562581,200.0,287.0,False,1,2,2
F05,portrait,90,290.4799374562581,177.37640595554055,200.0,287.0,False,2,1,2
F05,portrait,45,310.24693830478594,310.2544516727699,200.0,287.0,False,2,2,4
F05,portrait,135,310.25445167276985,310.2469383047859,200.0,287.0,False,2,2,4
F05,landscape,0,177.37640595554055,290.4799374562581,287.0,200.0,False,1,2,2
F05,landscape,90,290.4799374562581,177.37640595554055,287.0,200.0,False,2,1,2
F05,landscape,45,310.24693830478594,310.2544516727699,287.0,200.0,False,2,2,4
