vertex,flat_x_mm,flat_y_mm,source_x_mm,source_y_mm,source_z_mm,u,v
0,83.4041881129308,5.000200824411174,2.16139658623577e-05,1.37591641095916e-13,51.189798495157596,-1.341149413747189e-13,4.603549232406158e-16
1,81.22429246883269,5.000200034311216,2.1784528376267773,1.4280168966147963e-13,51.10990845413811,-0.20736864334073246,4.033575713548467e-16
2,79.03526474191688,5.0001975709316495,4.354805083019783,1.4592580739415655e-13,50.87467816699854,-0.41473728668146403,3.8110565066987794e-16
3,76.83082954779434,5.000191770087786,6.525553118286222,1.492418006612056e-13,50.49076738761881,-0.6221059300221965,3.588537299849091e-16
4,74.60615004046076,5.000182703743694,8.687171711568816,1.524138092445675e-13,49.96483586987884,-0.8294745733629254,3.366018092999403e-16
5,72.35773866634199,5.000172286410475,10.83613563101029,1.5510597292618306e-13,49.303543367658555,-1.036843216703657,3.1434988861497146e-16
6,70.07975146423925,5.0001623949192835,12.972389332742587,1.5967259568611212e-13,48.51256561298121,-1.2442118600443877,2.920979679300027e-16
7,67.77557475749605,5.000152441708228,15.088197851706525,1.643278099626802e-13,47.60010487321643,-1.4515805033851183,2.698460472450339e-16
8,65.4447151149111,5.0001414479591,17.18018673844089,1.6867698476629262e-13,46.57224828475263,-1.658949146725849,2.4759412656006503e-16
9,63.08673240142427,5.000129750745035,19.245701046899654,1.7272837364439846e-13,45.43482438989539,-1.8663177900665797,2.2534220587509625e-16
10,60.70191632086846,5.00011935886797,21.28208583103678,1.7649023014444675e-13,44.193661730950254,-2.0736864334073113,2.0309028519012742e-16
11,57.482289307719284,5.000106848105932,23.947364154195267,1.8106992050262998e-13,42.38748079862469,-2.350177957861618,1.7342105761016913e-16
12,53.81007360868841,5.000091142041631,26.87042448995641,1.8564871406877836e-13,40.16467032347002,-2.661230922872714,1.4004317658271587e-16
13,50.092053540433554,5.000072490565343,29.705044486346818,1.8964724663104564e-13,37.758718806503055,-2.9722838878838105,1.0666529555526265e-16
14,46.339572190188804,5.0000501679236615,32.44027132235891,1.9525961821839736e-13,35.18974032563155,-3.2833368528949065,7.328741452780943e-17
15,42.569635047101144,5.000032556932738,35.06102142778643,1.9960360258453997e-13,32.47974125881685,-3.594389817906003,3.9909533500356266e-17
16,38.795659989401884,5.000020108102073,37.55830171064315,2.0515636151647978e-13,29.65016904365936,-3.9054427829170995,6.5316524729030005e-18
17,35.03121682865658,5.000006602502301,39.92123389946378,2.1020020481592415e-13,26.719711096940078,-4.216495747928195,-2.6846228554550167e-17
18,31.290277947902123,5.0,42.13882450478981,2.1469474354501986e-13,23.706919100398952,-4.527548712939292,-6.022410958200338e-17
19,27.58702475780215,5.0000039180206475,44.20008003716274,2.1859958876591366e-13,20.630344735775942,-4.838601677950388,-9.36019906094567e-17
20,23.93563787848218,5.000015124476941,46.09400700712408,2.2187435154075233e-13,17.508539684810987,-5.149654642961484,-1.2697987163690982e-16
21,20.35007626530314,5.000026867535319,47.8096119252153,2.2447864293168262e-13,14.360055629244052,-5.46070760797258,-1.6035775266436303e-16
22,16.8438311719168,5.0000481592102775,49.33590130197791,2.2637207400085133e-13,11.203444250815078,-5.771760572983676,-1.9373563369181625e-16
23,13.429509421740317,5.000086200491702,50.65970211645733,2.3002410464723256e-13,8.056200310419737,-6.082813537994773,-2.2711351471926946e-16
24,10.129243072634335,5.000127529201103,51.764736365219186,2.3238671935722146e-13,4.946432266434664,-6.393866503005869,-2.604913957467227e-16
25,7.533752592007431,5.000156608977765,52.49766353881439,2.345662242281938e-13,2.4565751217246348,-6.646971451290261,-2.8765110101104885e-16
26,5.0,5.000200891721128,53.118260729262296,2.37671929220233e-13,-5.518099782758129e-10,-6.900076399580338,-3.5423002557469566e-16
27,83.4041430471535,135.0002008790893,2.16139660844023e-05,-130.0,51.189798495157596,1.2096732504573993e-09,1.0
28,81.21085724852864,135.00020007781688,2.1918667572525083,-130.0,51.11031606080005,-0.20864165856397676,1.0
29,79.0369716340015,135.00019766399777,4.353296739371935,-130.0,50.87793901457558,-0.4145687701051868,1.0
30,76.87025523628634,135.00019212487996,6.487109964539897,-130.0,50.50177274463168,-0.6183899578510736,1.0
31,74.70027200232472,135.00018314550783,8.596104843326117,-130.0,49.99092263911582,-0.8206901689473813,1.0000000000000002
32,72.51877701417222,135.00017318219923,10.682725508478502,-130.0,49.35457793956197,-1.021956826280837,1.0
33,70.32815177888183,135.0001639473468,12.740744501568411,-130.0,48.603980350970026,-1.2217895937389018,1.0000000000000002
34,68.14130706671742,135.0001542734542,14.755003496705076,-130.0,47.75248138448696,-1.4189527630654446,1.0
35,65.96610688372796,135.00014444335807,16.71612287456737,-130.0,46.81146777235615,-1.612805988630475,1.0
36,63.798079362130835,135.00013382088508,18.62741976667227,-130.0,45.788097105650635,-1.803876105761387,1.0
37,60.90996271983309,135.00012044366048,21.106073618565425,-130.0,44.30570282077182,-2.055318522238035,1.0000000000000002
38,57.65282971720299,135.00010816089045,23.80811857129713,-130.0,42.48694817439839,-2.33503168373539,1.0
39,54.38330368060576,135.00009430533717,26.421752311971893,-130.0,40.522585893793966,-2.6122446860744093,1.0000000000000002
40,51.11064432504692,135.00007904551578,28.940391039246123,-130.0,38.43290691963657,-2.886781998230382,1.0
41,47.849518706541545,135.00006106512808,31.35416210153107,-130.0,36.24004359689143,-3.1580950417391773,1.0
42,43.525731575674584,135.00003816973467,34.40789466958889,-130.0,33.179022109909724,-3.5155538045286434,1.0
43,38.67009365309748,135.00001970208046,37.63945722493552,-130.0,29.554905241990955,-3.9158370015367545,1.0
44,33.80848917181109,135.00000592547377,40.66048792540674,-130.0,25.74589334532205,-4.317875234000966,1.0
45,28.92444979235771,135.00000417886423,43.471508371839285,-130.0,21.75189726314895,-4.725805069634022,1.0
46,24.017800860815203,135.00001646069595,46.05327003431088,-130.0,17.579402750158085,-5.1426316032929,1.0
47,19.14019249362612,135.00003581613296,48.35419180469153,-130.0,13.278609523164961,-5.567271621617072,1.0
48,14.280276457868158,135.00007814708772,50.34746256000662,-130.0,8.846267526626052,-6.004508435224158,1.0
49,10.339144030430472,135.00012636557523,51.70218387640299,-130.0,5.145287254664724,-6.373714909492541,1.0
50,7.676503577978675,135.00015554933904,52.45148013141867,-130.0,2.590251187011958,-6.633406226509241,1.0
51,5.001807786801525,135.00020087908902,53.1182607292671,-130.0,-5.70192907026994e-10,-6.900076399580347,1.0
