assembly_component,face_zero_based,surface_type,manufacturing_route,reason
A08,0,CYLINDER,no extra panel,inner wall or internal relief/slit surface
A08,1,PLANE,no extra panel,inner wall or internal relief/slit surface
A08,2,PLANE,no extra panel,inner wall or internal relief/slit surface
A08,3,CYLINDER,no extra panel,inner wall or internal relief/slit surface
A08,4,BSPLINE,no extra panel,inner wall or internal relief/slit surface
A08,5,BSPLINE,no extra panel,inner wall or internal relief/slit surface
A08,6,BSPLINE,F25,covered exterior reference
A08,7,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A08,8,BSPLINE,F26,covered exterior reference
A08,9,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A08,10,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A08,11,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A15,0,BSPLINE,F24 paper-only return,sub-mm exterior return covered by1mm paper-only trim lip
A15,1,BSPLINE,F23 paper-only return,sub-mm exterior return covered by1mm paper-only trim lip
A15,2,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A15,3,BSPLINE,no extra panel,inner wall or internal relief/slit surface
A15,4,BSPLINE,no extra panel,inner wall or internal relief/slit surface
A15,5,BSPLINE,no extra panel,inner wall or internal relief/slit surface
A15,6,BSPLINE,no extra panel,inner wall or internal relief/slit surface
A15,7,BSPLINE,no extra panel,inner wall or internal relief/slit surface
A15,8,PLANE,no extra panel,inner wall or internal relief/slit surface
A15,9,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A15,10,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A15,11,BSPLINE,F23,covered exterior reference
A15,12,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A15,13,BSPLINE,F24,covered exterior reference
A17,0,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A17,1,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A17,2,CYLINDER,F16,covered exterior reference
A17,3,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A17,4,PLANE,no extra panel,inner wall or internal relief/slit surface
A17,5,CYLINDER,no extra panel,inner wall or internal relief/slit surface
A17,6,CYLINDER,no extra panel,inner wall or internal relief/slit surface
A17,7,PLANE,no extra panel,inner wall or internal relief/slit surface
A17,8,CYLINDER,no extra panel,inner wall or internal relief/slit surface
A17,9,PLANE,no extra panel,inner wall or internal relief/slit surface
A17,10,PLANE,no extra panel,inner wall or internal relief/slit surface
A17,11,CYLINDER,no extra panel,inner wall or internal relief/slit surface
A17,12,CYLINDER,no extra panel,inner wall or internal relief/slit surface
A17,13,CYLINDER,no extra panel,inner wall or internal relief/slit surface
A17,14,PLANE,no extra panel,inner wall or internal relief/slit surface
A17,15,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A17,16,CYLINDER,F17,covered exterior reference
A17,17,CYLINDER,F11,covered exterior reference
A17,18,PLANE,F18,covered exterior reference
A17,19,CYLINDER,F12,covered exterior reference
A20,0,BSPLINE,no extra panel,material-thickness edge / end cap / cut interface
A20,1,BSPLINE,no extra panel,inner wall or internal relief/slit surface
A20,2,BSPLINE,no extra panel,inner wall or internal relief/slit surface
A20,3,BSPLINE,no extra panel,inner wall or internal relief/slit surface
A20,4,BSPLINE,no extra panel,inner wall or internal relief/slit surface
A20,5,BSPLINE,no extra panel,inner wall or internal relief/slit surface
A20,6,BSPLINE,no extra panel,inner wall or internal relief/slit surface
A20,7,BSPLINE,no extra panel,inner wall or internal relief/slit surface
A20,8,BSPLINE,no extra panel,inner wall or internal relief/slit surface
A20,9,BSPLINE,no extra panel,inner wall or internal relief/slit surface
A20,10,BSPLINE,no extra panel,inner wall or internal relief/slit surface
A20,11,BSPLINE,no extra panel,material-thickness edge / end cap / cut interface
A20,12,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A20,13,BSPLINE,no extra panel,material-thickness edge / end cap / cut interface
A20,14,BSPLINE,F27/F28/F29/F30,covered exterior reference
A20,15,BSPLINE,no extra panel,inner wall or internal relief/slit surface
A20,16,PLANE,no extra panel,material-thickness edge / end cap / cut interface
A20,17,BSPLINE,no extra panel,inner wall or internal relief/slit surface
A42,0,BSPLINE,no extra panel,material-thickness edge / end cap / cut interface
