id,name,quantity,x_mm,y_mm,z_mm,watertight,volume_mm3,file
A11,Left aileron,1,274.38702392578125,74.30140686035156,14.618609428405762,True,134651.48887211052,03_Print/Aircraft_STL/A11_Left_aileron.stl
A21,Right aileron,1,274.38702392578125,74.30140686035156,14.618609428405762,True,134650.4483440396,03_Print/Aircraft_STL/A21_Right_aileron.stl
A23,Left aileron hinge,1,274.427978515625,19.701278686523438,16.721784591674805,True,39536.39021852011,03_Print/Aircraft_STL/A23_Left_aileron_hinge.stl
A36,Right aileron hinge,1,274.427978515625,19.701278686523438,16.721784591674805,True,39536.671546282,03_Print/Aircraft_STL/A36_Right_aileron_hinge.stl
A45,Right wing root,1,10.0,183.66317749023438,29.118932723999023,True,34645.58920648088,03_Print/Aircraft_STL/A45_Right_wing_root.stl
A55,Left wing root,1,10.0,183.66317749023438,29.118932723999023,True,34645.17194266979,03_Print/Aircraft_STL/A55_Left_wing_root.stl
I04,FC Bridge,1,86.0,66.0,15.0,True,16078.129300896913,03_Print/Aircraft_STL/I04_FC_Bridge.stl
I05-1,Nose Cover Column,1,6.999999899999999,6.999006604310125,48.66464604868164,True,1457.8319770293626,03_Print/Aircraft_STL/I05-1_Nose_Cover_Column.stl
I05-2,Nose Cover Column,1,6.999999899999999,6.99967672440107,30.23611821665039,True,859.7752425773903,03_Print/Aircraft_STL/I05-2_Nose_Cover_Column.stl
I05-3,Nose Cover Column,1,6.999999899999999,6.99962473748019,48.66476048959961,True,1457.8273522249874,03_Print/Aircraft_STL/I05-3_Nose_Cover_Column.stl
I05-4,Nose Cover Column,1,6.999999899999999,6.999886873512878,30.235950369970702,True,859.764850071192,03_Print/Aircraft_STL/I05-4_Nose_Cover_Column.stl
I07,FC Service Hatch,1,57.40000142587873,87.40000142587891,19.539905448095702,True,28343.274806637044,03_Print/Aircraft_STL/I07_FC_Service_Hatch.stl
I08-1,Hatch Support Tab,1,25.9999999,15.999999900000006,5.137457747595214,True,1690.3876938442452,03_Print/Aircraft_STL/I08-1_Hatch_Support_Tab.stl
I08-2,Hatch Support Tab,1,25.9999999,15.999999900000006,9.6381777717041,True,3205.2316816150856,03_Print/Aircraft_STL/I08-2_Hatch_Support_Tab.stl
I13,Airspeed Board Carrier,1,87.80000305175781,32.0,15.0,True,6804.185247710201,03_Print/Aircraft_STL/I13_Airspeed_Board_Carrier.stl
A37,Nose gear mount,1,35.431446075425455,39.29999923705293,25.64875984190718,True,18828.575667897534,03_Print/Aircraft_STL/A37_Nose_gear_mount.stl
A09,Nose steering bearing,1,21.999999900002003,22.995744705199968,10.999999899991245,True,2055.727944642021,03_Print/Aircraft_STL/A09_Nose_steering_bearing.stl
I02,Battery Corner Stop,2,51.0,21.0,11.0,True,4020.0675437340983,03_Print/Aircraft_STL/I02_Battery_Corner_Stop.stl
I17-1L,Battery Hanger,1,13.0,10.0,28.0,True,1272.1710657441583,03_Print/Aircraft_STL/I17-1L_Battery_Hanger.stl
I17-1R,Battery Hanger,1,13.0,10.0,28.0,True,1272.1710689717574,03_Print/Aircraft_STL/I17-1R_Battery_Hanger.stl
I17-2L,Battery Hanger,1,13.0,10.0,28.0,True,1272.1710657441583,03_Print/Aircraft_STL/I17-2L_Battery_Hanger.stl
I17-2R,Battery Hanger,1,13.0,10.0,28.0,True,1272.1710689717574,03_Print/Aircraft_STL/I17-2R_Battery_Hanger.stl
I00,Nose Cover Spacer 6mm,4,7.0,7.0,6.0,True,208.0775374528972,03_Print/Aircraft_STL/I00_Nose_Cover_Spacer_6mm.stl
I10,Nose Receiver Carrier,1,89.80000305175781,68.0,11.0,True,13775.828822229421,03_Print/Aircraft_STL/I10_Nose_Receiver_Carrier.stl
A06,Centre fairing,1,106.3681697845459,233.64999379648438,51.24023175239563,True,122714.30550360831,03_Print/Aircraft_STL/A06_Centre_fairing.stl
I18,Battery Access Hatch,1,53.40000142587884,106.40000142587888,18.52794446481927,True,31691.052233938084,03_Print/Aircraft_STL/I18_Battery_Access_Hatch.stl
I19-1,Battery Hatch Tab,1,23.99999989999999,11.999999899999999,14.756784339086913,True,3288.203036633462,03_Print/Aircraft_STL/I19-1_Battery_Hatch_Tab.stl
I19-2,Battery Hatch Tab,1,23.9999999,11.999999900000006,4.69098128809204,True,1086.3362180197503,03_Print/Aircraft_STL/I19-2_Battery_Hatch_Tab.stl
I12,Forward ESC Carrier,1,89.79988053983834,70.0,11.0,True,11959.843308193813,03_Print/Aircraft_STL/I12_Forward_ESC_Carrier.stl
I11,Aft Telemetry Carrier,1,89.79988053983834,68.0,11.0,True,12923.84316804343,03_Print/Aircraft_STL/I11_Aft_Telemetry_Carrier.stl
A12,Tail fairing,1,105.68430137494579,210.64535657830675,89.63661183829132,True,120539.72771166595,03_Print/Aircraft_STL/A12_Tail_fairing.stl
A59,Nose shell,1,109.03303581126966,303.44934072030725,88.55993387322792,True,165574.8837608097,03_Print/Aircraft_STL/A59_Nose_shell.stl
I09,Internal GPS Bridge,1,86.0,40.0,24.0,True,9166.997706353224,03_Print/Aircraft_STL/I09_Internal_GPS_Bridge.stl
I14,Slim Pitot Carrier,1,60.599998474121094,56.0,11.0,True,3878.1803637463395,03_Print/Aircraft_STL/I14_Slim_Pitot_Carrier.stl
I06-1,Compact Cover Washer,1,5.999981845796356,5.99997093994898,11.812624199363427,True,153.43765831424113,03_Print/Aircraft_STL/I06-1_Compact_Cover_Washer.stl
I06-2,Compact Cover Washer,1,5.999986264678228,5.999970966557157,9.719443037857673,True,128.8954624963417,03_Print/Aircraft_STL/I06-2_Compact_Cover_Washer.stl
I06-3,Compact Cover Washer,1,5.999979136699039,5.999970966557157,11.812626285112856,True,153.43794634502254,03_Print/Aircraft_STL/I06-3_Compact_Cover_Washer.stl
I06-4,Compact Cover Washer,1,6.000075496879731,5.999975846688358,9.719204365594123,True,128.89402051371442,03_Print/Aircraft_STL/I06-4_Compact_Cover_Washer.stl
