id,quantity,one_piece_g,total_g,walls,infill,orientation,support
A11,1,66.31,66.31,3,10%,Supplied STL orientation,Automatic 45 degree threshold
A21,1,66.26,66.26,3,10%,Supplied STL orientation,Automatic 45 degree threshold
A23,1,44.09,44.09,3,10%,Supplied STL orientation,Automatic 45 degree threshold
A36,1,43.89,43.89,3,10%,Supplied STL orientation,Automatic 45 degree threshold
A45,1,33.66,33.66,4,30%,Supplied STL orientation,Automatic 45 degree threshold
A55,1,33.66,33.66,4,30%,Supplied STL orientation,Automatic 45 degree threshold
I04,1,24.84,24.84,4,30%,Supplied STL orientation,Automatic 45 degree threshold
I05-1,1,1.77,1.77,4,30%,Supplied STL orientation,Automatic 45 degree threshold
I05-2,1,1.05,1.05,4,30%,Supplied STL orientation,Automatic 45 degree threshold
I05-3,1,1.77,1.77,4,30%,Supplied STL orientation,Automatic 45 degree threshold
I05-4,1,1.05,1.05,4,30%,Supplied STL orientation,Automatic 45 degree threshold
I07,1,31.97,31.97,2,5%,Supplied STL orientation,Automatic 45 degree threshold
I08-1,1,1.53,1.53,4,30%,Supplied STL orientation,Automatic 45 degree threshold
I08-2,1,2.51,2.51,4,30%,Supplied STL orientation,Automatic 45 degree threshold
I13,1,12.76,12.76,4,30%,Supplied STL orientation,Automatic 45 degree threshold
A37,1,18.92,18.92,4,30%,Supplied STL orientation,Automatic 45 degree threshold
A09,1,2.3,2.3,4,30%,Supplied STL orientation,Automatic 45 degree threshold
I02,2,5.09,10.18,4,30%,Supplied STL orientation,Automatic 45 degree threshold
I17-1L,1,3.06,3.06,4,30%,Supplied STL orientation,Automatic 45 degree threshold
I17-1R,1,3.06,3.06,4,30%,Supplied STL orientation,Automatic 45 degree threshold
I17-2L,1,3.06,3.06,4,30%,Supplied STL orientation,Automatic 45 degree threshold
I17-2R,1,3.06,3.06,4,30%,Supplied STL orientation,Automatic 45 degree threshold
I00,4,0.26,1.04,4,30%,Supplied STL orientation,Automatic 45 degree threshold
I10,1,20.28,20.28,4,30%,Supplied STL orientation,Automatic 45 degree threshold
A06,1,147.4,147.4,2,5%,Supplied STL orientation,Automatic 45 degree threshold
I18,1,36.57,36.57,2,5%,Supplied STL orientation,Automatic 45 degree threshold
I19-1,1,2.77,2.77,4,30%,Supplied STL orientation,Automatic 45 degree threshold
I19-2,1,1.04,1.04,4,30%,Supplied STL orientation,Automatic 45 degree threshold
I12,1,19.88,19.88,4,30%,Supplied STL orientation,Automatic 45 degree threshold
I11,1,19.61,19.61,4,30%,Supplied STL orientation,Automatic 45 degree threshold
A12,1,287.02,287.02,2,5%,Supplied STL orientation,Automatic 45 degree threshold
A59,1,327.93,327.93,2,5%,Supplied STL orientation,Automatic 45 degree threshold
I09,1,17.45,17.45,4,30%,Supplied STL orientation,Automatic 45 degree threshold
I14,1,8.42,8.42,4,30%,Supplied STL orientation,Automatic 45 degree threshold
I06-1,1,0.29,0.29,4,30%,Supplied STL orientation,Automatic 45 degree threshold
I06-2,1,0.26,0.26,4,30%,Supplied STL orientation,Automatic 45 degree threshold
I06-3,1,0.29,0.29,4,30%,Supplied STL orientation,Automatic 45 degree threshold
I06-4,1,0.26,0.26,4,30%,Supplied STL orientation,Automatic 45 degree threshold
