stock_mm,part,copy,pdf,page,orientation,mode,rotation_deg
5,A43,1,Plywood_5mm_A4_Tiles.pdf,1,landscape,tiled,90
5,A43,1,Plywood_5mm_A4_Tiles.pdf,4,landscape,tiled,90
5,A62R,1,Plywood_5mm_A4_Tiles.pdf,1,landscape,tiled,0
5,A62R,1,Plywood_5mm_A4_Tiles.pdf,2,landscape,tiled,0
5,A62R,1,Plywood_5mm_A4_Tiles.pdf,3,landscape,tiled,0
5,A62R,1,Plywood_5mm_A4_Tiles.pdf,4,landscape,tiled,0
5,A05,2,Plywood_5mm_A4_Tiles.pdf,1,landscape,tiled,0
5,A05,2,Plywood_5mm_A4_Tiles.pdf,4,landscape,tiled,0
5,A16,1,Plywood_5mm_A4_Tiles.pdf,1,landscape,whole,0
5,A25,1,Plywood_5mm_A4_Tiles.pdf,1,landscape,whole,0
5,A26,1,Plywood_5mm_A4_Tiles.pdf,1,landscape,whole,0
5,A13,1,Plywood_5mm_A4_Tiles.pdf,2,landscape,tiled,90
5,A13,1,Plywood_5mm_A4_Tiles.pdf,3,landscape,tiled,90
5,A07,1,Plywood_5mm_A4_Tiles.pdf,2,landscape,tiled,0
5,A07,1,Plywood_5mm_A4_Tiles.pdf,3,landscape,tiled,0
5,A07,1,Plywood_5mm_A4_Tiles.pdf,4,landscape,tiled,0
5,A07,2,Plywood_5mm_A4_Tiles.pdf,2,landscape,tiled,0
5,A07,2,Plywood_5mm_A4_Tiles.pdf,3,landscape,tiled,0
5,A07,2,Plywood_5mm_A4_Tiles.pdf,4,landscape,tiled,0
5,A05,1,Plywood_5mm_A4_Tiles.pdf,2,landscape,tiled,0
5,A05,1,Plywood_5mm_A4_Tiles.pdf,3,landscape,tiled,0
5,A62F,1,Plywood_5mm_A4_Tiles.pdf,2,landscape,whole,0
5,A35,1,Plywood_5mm_A4_Tiles.pdf,2,landscape,whole,0
5,A35,2,Plywood_5mm_A4_Tiles.pdf,2,landscape,whole,0
5,A01,1,Plywood_5mm_A4_Tiles.pdf,3,landscape,whole,0
5,A01,2,Plywood_5mm_A4_Tiles.pdf,3,landscape,whole,0
5,A48,1,Plywood_5mm_A4_Tiles.pdf,3,landscape,whole,0
5,A24,1,Plywood_5mm_A4_Tiles.pdf,3,landscape,whole,0
5,A24,2,Plywood_5mm_A4_Tiles.pdf,3,landscape,whole,0
5,A44,1,Plywood_5mm_A4_Tiles.pdf,3,landscape,whole,0
5,A47,1,Plywood_5mm_A4_Tiles.pdf,4,landscape,whole,0
5,A44,2,Plywood_5mm_A4_Tiles.pdf,4,landscape,whole,0
5,A34,1,Plywood_5mm_A4_Tiles.pdf,5,portrait,whole,0
5,A54,1,Plywood_5mm_A4_Tiles.pdf,5,portrait,whole,0
5,A04,1,Plywood_5mm_A4_Tiles.pdf,5,portrait,whole,90
3,A53,1,Plywood_3mm_A4_Tiles.pdf,1,portrait,whole,90
3,A53,2,Plywood_3mm_A4_Tiles.pdf,1,portrait,whole,0
3,A10,1,Plywood_3mm_A4_Tiles.pdf,1,portrait,whole,90
3,A10,2,Plywood_3mm_A4_Tiles.pdf,1,portrait,whole,0
2.5,A18,1,Plywood_2.5mm_A4_Tiles.pdf,1,portrait,whole,0
2.5,A63,1,Plywood_2.5mm_A4_Tiles.pdf,1,portrait,whole,0
2.5,A63,2,Plywood_2.5mm_A4_Tiles.pdf,1,portrait,whole,90
