id,kind,quantity,panel,rotation_deg,translation_x_mm,translation_y_mm,source_dxf,source_sha256
A13,aircraft,1,REAPER_R5C_PLY_PANEL_01.dxf,-0.0,20.0,20.0,A13.dxf,eb01a8de2450dbe585fd33db8f3d25dab50a5f521d1726c8b5f500484ba8b647
A62_F,aircraft,1,REAPER_R5C_PLY_PANEL_01.dxf,-0.0,20.0,120.64445,A62_F.dxf,c5cf61109d03015f6c2356fbdb846b980ed1e26d17ac1823f5b2994458a6f40f
A62_A,aircraft,1,REAPER_R5C_PLY_PANEL_01.dxf,-0.0,20.0,167.35837,A62_A.dxf,d5b0150ea114b75d13065675cf77eeab242d492372d89ef578b3a501d842a368
A43,aircraft,1,REAPER_R5C_PLY_PANEL_01.dxf,-0.0,20.0,209.07232,A43.dxf,448ecda85e1b7c9c5fb62ea085816afef5ce3a632b77eeba925b8a25e1ab25ba
A07_L_O,aircraft,1,REAPER_R5C_PLY_PANEL_01.dxf,-0.0,20.0,309.71677,A07_L_O.dxf,cc08e6eac11f832ba872a74188b03da2fc0a3f71fe536eb77ec1698b9f055f60
A07_R_O,aircraft,1,REAPER_R5C_PLY_PANEL_01.dxf,-0.0,20.0,323.93015,A07_R_O.dxf,4e619b0d57269072d1d1708c5d993485e82691f37a5368d84b298fdaf51e8ef6
A05_L,aircraft,1,REAPER_R5C_PLY_PANEL_01.dxf,-0.0,20.0,338.14353000000006,A05_L.dxf,a44cbfc7da14bc1dd78298a06fe047c8a4c0401de3b96343d466f77a4320bb8e
A05_R,aircraft,1,REAPER_R5C_PLY_PANEL_01.dxf,-0.0,20.0,359.68368000000004,A05_R.dxf,98ed34e123306ac5bf03bfd5f595a403116f630356f33cb64cfb66890f68fbc7
A07_L_I,aircraft,1,REAPER_R5C_PLY_PANEL_01.dxf,-0.0,20.0,381.22383,A07_L_I.dxf,eb3d9051be5b6aa2c34e09322ffdb8416417e9ddcc47b54b9d09e8e0778c3d33
A07_R_I,aircraft,1,REAPER_R5C_PLY_PANEL_01.dxf,-0.0,20.0,399.41874,A07_R_I.dxf,33b1d0e6f1c17f76f72df4ad5afcb637d677e8eac19c4be0b2a732786dba0ac9
A35_L,aircraft,1,REAPER_R5C_PLY_PANEL_01.dxf,-0.0,20.0,417.61365,A35_L.dxf,4df8010181ee787b38257f0d5c011c3ee15eb3db7ba6e6d4f9bf4c9bfab34b44
A35_R,aircraft,1,REAPER_R5C_PLY_PANEL_01.dxf,-0.0,208.66319,417.61365,A35_R.dxf,d9202cbac23e795e25f447a7ffa2f9f053fdb619ba66af606de7b159e07f4b58
A24_L,aircraft,1,REAPER_R5C_PLY_PANEL_01.dxf,-0.0,331.99998,381.22383,A24_L.dxf,18cd5c96e1a9f62b54771308718792143f3e2b3a9b1ec4115f229fead122f96c
A24_R,aircraft,1,REAPER_R5C_PLY_PANEL_01.dxf,-0.0,397.32638,399.78650000000005,A24_R.dxf,2fcb9c503d8a311b5b9ef35767b9f4223e8927c0c7d86140560880c24e76043c
A62_DL,aircraft,1,REAPER_R5C_PLY_PANEL_01.dxf,-0.0,468.00002,309.71677,A62_DL.dxf,c8f225bf102b07456b342869340a1ef5513fe6239434a3544e4fc62854ffc835
A62_DR,aircraft,1,REAPER_R5C_PLY_PANEL_01.dxf,-0.0,468.00002,328.71677,A62_DR.dxf,becab2bc367f3c9baa25860397c42b4bef1a337b30733a741f254669629ccb98
A44_L,aircraft,1,REAPER_R5C_PLY_PANEL_01.dxf,-0.0,397.32638,418.3491700000001,A44_L.dxf,41420543a00a9cf702fc56012372a91c0f1d5215a990d37d358c002f3ae52178
A44_R,aircraft,1,REAPER_R5C_PLY_PANEL_01.dxf,-0.0,459.0,347.71677,A44_R.dxf,551555244c17011bb135478ac90d943086d512d224f64ff939dfaeb12e80dcce
A07_L_D1,aircraft,1,REAPER_R5C_PLY_PANEL_01.dxf,-0.0,459.0,367.34955,A07_L_D1.dxf,7500649dadee52005a2de3b3af9188a07f92db3ebca4a089980bda2517bb9ea8
A04,aircraft,1,REAPER_R5C_PLY_PANEL_01.dxf,-0.0,491.99243,209.07232,A04.dxf,fb05b7743fe2caad5dc26c58782d9b594c2ffa6356c406158aef1a590f2d3d12
A18,aircraft,1,REAPER_R5C_PLY_PANEL_02.dxf,-0.0,20.0,20.0,A18.dxf,e90a1ad20f2c43ba62127b382c39dfc0836244bd088afbf96fc277e5cd039ab6
A07_L_D2,aircraft,1,REAPER_R5C_PLY_PANEL_02.dxf,-0.0,20.0,142.59034,A07_L_D2.dxf,6c3c631e8cf81f947536001b455ed0751cdfacbeac0ccbbdf919fd7a5a30b6c3
A07_R_D1,aircraft,1,REAPER_R5C_PLY_PANEL_02.dxf,-0.0,106.0,20.0,A07_R_D1.dxf,9847645a090740211c3f5185904c67bf541ced8104935fa2c94eb63c43758980
A07_R_D2,aircraft,1,REAPER_R5C_PLY_PANEL_02.dxf,-0.0,106.0,31.0,A07_R_D2.dxf,9e9304f26112bba5b23945ddfb6d220e40ad07c6be8acb702047794840a5d9ae
A54,aircraft,1,REAPER_R5C_PLY_PANEL_02.dxf,-0.0,106.0,42.0,A54.dxf,6c75b1084e7938a9879f4f283157f3485f041164a44f8c93460d330727dea7d0
A16,aircraft,1,REAPER_R5C_PLY_PANEL_02.dxf,-0.0,20.0,153.59034,A16.dxf,bfcec2affc0eb5b6ada50d91017934362886e5e853fe818abd30df6152d77e49
A34,aircraft,1,REAPER_R5C_PLY_PANEL_02.dxf,-0.0,20.0,246.47037,A34.dxf,3f4eb25e8c6a4d13188f7a32abce4d5b983fbd0328032f8617d8fd926cc9ae49
A25,aircraft,1,REAPER_R5C_PLY_PANEL_02.dxf,-0.0,20.0,339.35040000000004,A25.dxf,2aa03cbfa5c299eeef235e5cebc20dbfa3c3523e74ee426041d159fe81432682
A48,aircraft,1,REAPER_R5C_PLY_PANEL_02.dxf,-0.0,20.0,369.35040000000004,A48.dxf,70f270953d9cd30a162856c6ac8378a6290491bf42ee5a2d7aa0071592de45d0
A53_L,aircraft,1,REAPER_R5C_PLY_PANEL_02.dxf,-0.0,20.0,399.35040000000004,A53_L.dxf,8f1bad1663ab9021ce2213ec454dae583f5a9be8a1728e3b10f83d5e494c0b37
A53_R,aircraft,1,REAPER_R5C_PLY_PANEL_02.dxf,-0.0,110.86539,399.35040000000004,A53_R.dxf,cf004277f86db29dfb9f78b7d162f7d473c72a98a22715c8961c3fe1fdf3f354
