checked,batch,id,source_stl,quantity,walls,infill_percent,supports,brim_mm,note
,1,HAR,HAR.stl,1,3,100,ON,5,Remove external supports; trial foam/backer fit before remaining batch
,1,HAL,HAL.stl,1,3,100,ON,5,Remove external supports; trial foam/backer fit before remaining batch
,1,HTR,HTR.stl,1,3,100,ON,5,Remove external supports; trial foam/backer fit before remaining batch
,1,HTL,HTL.stl,1,3,100,ON,5,Remove external supports; trial foam/backer fit before remaining batch
,2,HABR,HABR.stl,1,3,100,OFF,5,Broad face down; match to correct horn
,2,HABL,HABL.stl,1,3,100,OFF,5,Broad face down; match to correct horn
,2,HTBR,HTBR.stl,1,3,100,OFF,5,Broad face down; match to correct horn
,2,HTBL,HTBL.stl,1,3,100,OFF,5,Broad face down; match to correct horn
,2,MAR,MAR.stl,1,2,5,OFF,5,Broad face down; cradle turned 90 degrees in bed plane
,2,MAL,MAL.stl,1,2,5,OFF,5,Broad face down; cradle turned 90 degrees in bed plane
