id,quantity,kind,layer,x_mm,y_mm,rotation_deg,area_mm2
FK,1,aircraft,CUT_AIRCRAFT,9.982692339696081,38.44225509942877,-89.88981594445698,16581.573830215388
FLR,1,aircraft,CUT_AIRCRAFT,723.6913766875481,23.845562295933668,88.31531568210369,4284.000000000002
FLL,1,aircraft,CUT_AIRCRAFT,10.0,78.11880502624192,-88.31531568210372,4284.000000000004
FBT,1,aircraft,CUT_AIRCRAFT,10.0,177.4063118592261,-90.0,21470.0
FBWL,1,aircraft,CUT_AIRCRAFT,10.0,196.4063118592261,-90.0,3280.0
FBWR,1,aircraft,CUT_AIRCRAFT,10.0,215.4063118592261,-90.0,3280.0
JL1,1,aircraft,CUT_AIRCRAFT,151.58837,229.1048918592261,-90.0,4267.450000000001
JL2,1,aircraft,CUT_AIRCRAFT,151.58837,252.1048918592261,-90.0,4267.450000000001
JL3,1,aircraft,CUT_AIRCRAFT,151.58837,275.1048918592261,-90.0,4267.450000000001
JR1,1,aircraft,CUT_AIRCRAFT,146.26163,298.1048918592261,-90.0,4267.45
JR2,1,aircraft,CUT_AIRCRAFT,146.26163,321.1048918592261,-90.0,4267.45
JR3,1,aircraft,CUT_AIRCRAFT,146.26163,344.1048918592261,-90.0,4267.45
GLEG_L,1,aircraft,CUT_AIRCRAFT,854.1601423199737,51.355422322241786,-35.42577211490816,3103.9999999999995
GLEG_R,1,aircraft,CUT_AIRCRAFT,854.1601423199737,70.39329668735516,35.425772114908185,3103.999999999998
GLEG_N,1,aircraft,CUT_AIRCRAFT,820.4851510807991,90.91223386991184,0.0,2880.0
WLRI,1,aircraft,CUT_AIRCRAFT,830.9038522809543,111.25093476782813,-89.89340631304279,1626.2151410908982
WRRI,1,aircraft,CUT_AIRCRAFT,830.9038522809543,133.10230934506097,-89.89340631304279,1626.215147108949
TEST_FIT,1,test,TEST_CUT_FIRST,10.0,359.4063118592261,0,3431.4
JLOW,1,aircraft,CUT_AIRCRAFT,60.0,415.55631185922607,0.0,3029.9999999999955
JTOP,1,aircraft,CUT_AIRCRAFT,60.0,451.8563118592261,0.0,3029.9999999999955
JB,1,aircraft,CUT_AIRCRAFT,166.0,408.9300618592261,-90.0,1684.0
JF,1,aircraft,CUT_AIRCRAFT,186.0,367.9063118592261,-90.0,1700.0
FX1,1,aircraft,CUT_AIRCRAFT,136.0,382.4063118592261,0.0,468.0
FX2,1,aircraft,CUT_AIRCRAFT,220.0,382.4063118592261,0.0,468.0
FX3,1,aircraft,CUT_AIRCRAFT,49.0,476.0063118592261,-90.0,468.0
TROOT,1,aircraft,CUT_AIRCRAFT,154.0,444.2573618592261,-90.0,922.0
FMT,1,aircraft,CUT_AIRCRAFT,916.4851510807991,130.91223386991186,-90.0,2180.42858
FBC,1,aircraft,CUT_AIRCRAFT,94.0,473.0063118592261,0.0,360.0
FMF,1,aircraft,CUT_AIRCRAFT,198.0,423.4063118592261,0.0,1863.911717494204
TEST_MOTOR,1,test,TEST_CUT_FIRST,915.906504444537,136.91223386991186,0,1863.911717494206
FMGR,1,aircraft,CUT_AIRCRAFT,222.0,411.51968185922607,-90.0,329.13680727109966
FMGL,1,aircraft,CUT_AIRCRAFT,935.0367621377358,27.11335,-90.0,329.13679315164984
TEST_LAM1,1,test,TEST_CUT_FIRST,242.0,359.4063118592261,0,510.0
TEST_LAM2,1,test,TEST_CUT_FIRST,278.0,359.4063118592261,0,510.0
TEST_LAM3,1,test,TEST_CUT_FIRST,160.0,459.4063118592261,0,510.0
FX0L,1,aircraft,CUT_AIRCRAFT,160.0,482.4063118592261,0.0,93.0
FX0R,1,aircraft,CUT_AIRCRAFT,181.5,482.4063118592261,0.0,93.0
