id,quantity,kind,panel,layer,x_mm,y_mm,rotation_deg,source_translation_x_mm,source_translation_y_mm,area_mm2
TEST_FIT,1,test,REAPER_REV4_PLY_PANEL_01.dxf,TEST_CUT_FIRST,10,10,0,0.0,0.0,3431.4
TEST_MOTOR,1,test,REAPER_REV4_PLY_PANEL_01.dxf,TEST_CUT_FIRST,10,51.0,0,0.0,0.0,1863.911717494206
TEST_LAM1,1,test,REAPER_REV4_PLY_PANEL_01.dxf,TEST_CUT_FIRST,10,104.25756000000001,0,0.0,0.0,510.0
TEST_LAM2,1,test,REAPER_REV4_PLY_PANEL_01.dxf,TEST_CUT_FIRST,10,127.25756000000001,0,0.0,0.0,510.0
TEST_LAM3,1,test,REAPER_REV4_PLY_PANEL_01.dxf,TEST_CUT_FIRST,10,150.25756,0,0.0,0.0,510.0
LCL_I,1,aircraft,REAPER_REV4_PLY_PANEL_01.dxf,CUT_AIRCRAFT,64.0,51.0,-0.0,64.0,51.0,8440.0
LCR_I,1,aircraft,REAPER_REV4_PLY_PANEL_01.dxf,CUT_AIRCRAFT,64.0,77.0,-0.0,64.0,77.0,8440.0
FK_F,1,aircraft,REAPER_REV4_PLY_PANEL_01.dxf,CUT_AIRCRAFT,136.0,10,-90.0,136.0,39.0,7918.976549999999
FK_A,1,aircraft,REAPER_REV4_PLY_PANEL_01.dxf,CUT_AIRCRAFT,64.0,103.0,-90.0,64.0,131.50962,8662.598650086231
WBL_O,1,aircraft,REAPER_REV4_PLY_PANEL_01.dxf,CUT_AIRCRAFT,46.0,137.50961999999998,-0.0,46.0,137.50961999999998,2553.926183310001
WBR_O,1,aircraft,REAPER_REV4_PLY_PANEL_01.dxf,CUT_AIRCRAFT,46.0,151.78462,-0.0,46.0,151.78462,2553.926183310001
FLR_F,1,aircraft,REAPER_REV4_PLY_PANEL_01.dxf,CUT_AIRCRAFT,46.0,166.05962,-90.0,46.0,172.05962,2595.0
FLL_F,1,aircraft,REAPER_REV4_PLY_PANEL_01.dxf,CUT_AIRCRAFT,46.0,178.05962,-90.0,46.0,184.05962,2520.0
LCL_O,1,aircraft,REAPER_REV4_PLY_PANEL_01.dxf,CUT_AIRCRAFT,46.0,190.05962,-0.0,46.0,190.05962,3749.4429
LCR_O,1,aircraft,REAPER_REV4_PLY_PANEL_01.dxf,CUT_AIRCRAFT,46.0,206.05962,-0.0,46.0,206.05962,3749.4429
TLS,1,aircraft,REAPER_REV4_PLY_PANEL_01.dxf,CUT_AIRCRAFT,10,222.05962,-34.999999993021305,10.0,222.05962,1559.9999999999995
TRS,1,aircraft,REAPER_REV4_PLY_PANEL_01.dxf,CUT_AIRCRAFT,10,232.97453235844733,34.999999993021305,117.86332019973932,83.8446589331165,1559.9999999999998
FBT,1,aircraft,REAPER_REV4_PLY_PANEL_01.dxf,CUT_AIRCRAFT,10,243.88944471689467,-90.0,10.0,321.8894447168947,21470.0
FBWL,1,aircraft,REAPER_REV4_PLY_PANEL_01.dxf,CUT_AIRCRAFT,10,327.8894447168947,-90.0,10.0,340.8894447168947,3280.0
FBWR,1,aircraft,REAPER_REV4_PLY_PANEL_01.dxf,CUT_AIRCRAFT,10,346.8894447168947,-90.0,10.0,359.8894447168947,3280.0
FLL_A,1,aircraft,REAPER_REV4_PLY_PANEL_01.dxf,CUT_AIRCRAFT,10,365.8894447168947,-90.0,10.0,392.8894447168947,1764.0
FLR_A,1,aircraft,REAPER_REV4_PLY_PANEL_01.dxf,CUT_AIRCRAFT,310.0,365.8894447168947,-90.0,310.0,392.8894447168947,1689.0
